Time,Front Angle,Rear Angle
506499,-0.24,-0.24
506510,-0.04,0.15
506520,-0.10,-0.10
506530,-0.16,0.03
506540,-0.23,0.14
506550,-0.30,-0.12
506560,-0.20,-0.20
506570,-0.10,-0.10
506580,-0.01,-0.01
506590,0.07,0.07
506600,-0.04,0.15
506610,-0.15,0.03
506620,-0.27,-0.09
506630,-0.21,-0.21
506640,0.02,-0.16
506650,-0.12,-0.12
506660,-0.08,-0.08
506670,-0.05,-0.05
506680,-0.21,-0.21
506690,-0.38,-0.19
506700,-0.55,-0.18
506710,-0.37,-0.37
506720,-0.37,-0.55
506730,-0.38,-0.20
506740,-0.22,-0.22
506750,-0.24,-0.43
506760,-0.28,-0.28
506770,-0.32,-0.32
506780,-0.37,-0.37
506790,-0.61,-0.61
506801,-0.44,-0.44
506811,-0.33,-0.51
506821,-0.22,-0.41
506831,-0.31,-0.31
506841,-0.04,-0.40
506851,-0.14,-0.14
506861,-0.25,-0.25
506871,-0.37,-0.37
506881,-0.31,-0.31
506891,-0.45,-0.26
506901,-0.59,-0.40
506911,-0.37,-0.37
506921,-0.35,-0.53
506931,-0.33,-0.33
506941,-0.32,-0.14
506951,-0.14,0.05
506961,0.04,-0.14
506971,-0.34,0.02
506981,-0.18,0.00
506991,-0.40,-0.03
507001,-0.44,-0.07
507011,-0.67,-0.12
507021,-0.55,-0.36
507031,-0.43,-0.25
507041,-0.50,-0.50
507052,-0.38,-0.56
507062,-0.28,-0.47
507072,-0.02,-0.39
507082,0.06,-0.13
507092,-0.06,-0.06
507102,-0.01,0.18
507112,0.04,0.23
507122,0.08,0.26
507132,0.11,0.48
507142,-0.05,0.32
507152,-0.04,0.15
507162,-0.03,0.33
507172,-0.04,0.33
507182,-0.24,-0.05
507192,-0.44,-0.07
507202,-0.29,0.08
507212,-0.33,0.04
507222,-0.75,-0.38
507232,-0.62,-0.25
507242,-0.69,-0.32
507252,-0.58,-0.39
507262,-0.48,-0.48
507272,-0.76,-0.76
507282,-0.86,-0.68
507292,-0.79,-0.79
507302,-0.91,-0.72
507312,-0.85,-0.67
507322,-0.81,-0.62
507333,-0.77,-0.59
507343,-0.74,-0.56
507353,-0.73,-0.54
