Time,Front Angle,Rear Angle
15344,-18.36,-27.55
15354,-22.95,-18.36
15364,-22.95,-22.95
15374,-18.36,-22.95
15384,-22.95,-18.36
15394,-18.36,-18.36
15404,-27.55,-27.55
15414,-22.95,-18.36
15424,-18.36,-18.36
15434,-22.95,-27.55
15444,-22.95,-22.95
15454,-22.95,-18.36
15464,-22.95,-27.55
15474,-22.95,-18.36
15484,-22.95,-27.55
15494,-22.95,-22.95
15504,-22.95,-18.36
15514,-27.55,-27.55
15524,-18.36,-22.95
15534,-22.95,-22.95
15545,-22.95,-22.95
15555,-18.36,-27.55
15565,-27.55,-18.36
15575,-18.36,-22.95
15585,-22.95,-22.95
15595,-22.95,-22.95
15605,-22.95,-22.95
15615,-22.95,-22.95
15625,-22.95,-22.95
15635,-22.95,-22.95
15645,-22.95,-27.55
15655,-18.36,-22.95
15665,-27.55,-27.55
15675,-22.95,-22.95
15685,-22.95,-18.36
15695,-22.95,-27.55
15705,-18.36,-22.95
15715,-22.95,-18.36
15725,-27.55,-22.95
15735,-22.95,-18.36
15745,-18.36,-27.55
15755,-22.95,-18.36
15765,-27.55,-27.55
15775,-18.36,-22.95
15785,-22.95,-18.36
15795,-22.95,-22.95
15806,-22.95,-22.95
15816,-22.95,-18.36
15826,-18.36,-22.95
15836,-22.95,-22.95
15846,-22.95,-18.36
15856,-18.36,-22.95
15866,-18.36,-22.95
15876,-22.95,-22.95
15886,-22.95,-22.95
15896,-22.95,-18.36
15906,-18.36,-27.55
15916,-22.95,-22.95
15927,-22.95,-18.36
15937,-18.36,-22.95
15946,-22.95,-18.36
15957,-22.95,-22.95
15967,-22.95,-22.95
15977,-22.95,-18.36
15987,-22.95,-22.95
15996,-18.36,-22.95
16007,-27.55,-18.36
16017,-18.36,-27.55
16027,-18.36,-18.36
16037,-22.95,-22.95
16046,-22.95,-22.95
16057,-18.36,-18.36
16068,-22.95,-22.95
16078,-18.36,-22.95
16088,-18.36,-13.77
16097,-27.55,-22.95
16108,-18.36,-22.95
16118,-22.95,-18.36
