Time,Wheel Input,Wheel Ticks,Wheel Speed
331579,600,16634,48.20
331639,590,16761,48.20
331699,590,16885,45.91
331760,580,17009,45.91
331820,580,17132,48.20
331880,570,17252,45.91
331940,570,17372,45.91
332000,560,17487,41.32
332060,560,17597,41.32
332120,550,17706,41.32
332180,540,17814,41.32
332240,540,17924,43.61
332301,530,18034,41.32
332361,530,18143,41.32
332421,520,18251,41.32
332481,520,18358,41.32
332541,510,18463,39.02
332601,510,18567,39.02
332661,500,18669,36.73
332721,490,18770,39.02
332781,490,18869,39.02
332842,480,18967,36.73
332902,480,19064,36.73
332962,470,19159,36.73
333022,470,19254,36.73
333082,460,19347,34.43
333142,460,19436,34.43
333202,450,19520,32.14
333262,440,19602,32.14
333322,440,19683,32.14
333383,430,19764,32.14
333443,430,19845,32.14
333503,420,19926,32.14
333563,420,20008,32.14
333623,410,20087,29.84
333683,410,20166,29.84
333743,400,20243,29.84
333803,390,20320,27.55
333863,390,20394,27.55
333924,380,20468,27.55
333984,380,20540,27.55
334044,370,20609,25.25
334104,370,20677,25.25
334164,360,20744,25.25
334224,360,20809,25.25
334284,350,20874,25.25
334344,340,20938,22.95
334404,340,21000,25.25
334465,330,21060,22.95
334525,330,21119,22.95
334585,320,21177,20.66
334645,320,21234,20.66
334705,310,21289,20.66
334765,310,21341,20.66
334825,300,21390,18.36
334885,290,21434,16.07
334945,290,21478,13.77
335005,280,21518,16.07
335066,280,21561,16.07
335126,270,21597,16.07
335186,270,21638,16.07
335246,260,21673,13.77
335306,260,21711,16.07
335366,250,21746,11.48
335426,240,21782,13.77
335486,240,21818,13.77
335546,230,21850,13.77
335607,230,21883,13.77
335667,220,21916,13.77
335727,220,21947,13.77
335787,210,21977,9.18
335847,210,22005,9.18
335907,200,22032,9.18
335967,190,22058,9.18
336027,190,22081,6.89
336087,180,22104,6.89
336148,180,22126,9.18
336208,170,22146,9.18
336268,170,22163,4.59
336328,160,22182,4.59
336388,160,22198,6.89
336448,150,22212,4.59
336508,140,22229,9.18
336568,140,22237,2.30
336628,130,22237,0.00
336689,130,22237,0.00
336749,120,22237,0.00
336809,120,22237,0.00
336869,110,22237,0.00
336929,110,22237,0.00
336989,100,22237,0.00
337049,90,22237,0.00
337109,90,22237,0.00
337169,80,22237,0.00
337230,80,22237,0.00
337290,70,22237,0.00
337350,70,22237,0.00
337410,60,22237,0.00
337470,60,22237,0.00
337530,50,22237,0.00
337590,40,22237,0.00
337650,40,22237,0.00
337710,30,22237,0.00
337771,30,22237,0.00
337831,20,22237,0.00
337891,20,22237,0.00
337951,10,22236,0.00
338011,10,22236,0.00
338071,0,22236,0.00
338131,-10,22236,0.00
338191,-10,22236,0.00
338251,-20,22236,0.00
338312,-20,22236,0.00
338372,-30,22236,0.00
338432,-30,22236,0.00
338492,-40,22235,0.00
338552,-40,22235,0.00
338612,-50,22235,0.00
338672,-60,22235,0.00
338732,-60,22235,0.00
338792,-70,22234,0.00
338853,-70,22234,0.00
338913,-80,22234,0.00
338973,-80,22234,0.00
339033,-90,22234,0.00
339093,-90,22234,0.00
339153,-100,22234,0.00
339213,-110,22234,0.00
339273,-110,22234,0.00
339333,-120,22234,0.00
339394,-120,22230,-4.59
339454,-130,22223,0.00
339514,-130,22223,0.00
339574,-140,22223,0.00
339634,-140,22223,0.00
339694,-150,22223,0.00
339754,-160,22223,0.00
339814,-160,22221,-2.30
339874,-170,22210,-6.89
339935,-170,22192,-4.59
339995,-180,22172,-9.18
340055,-180,22154,-9.18
340115,-190,22135,-6.89
340175,-190,22113,-6.89
340235,-200,22089,-9.18
340295,-210,22066,-9.18
340355,-210,22043,-11.48
340415,-220,22018,-13.77
340476,-220,21990,-13.77
340536,-230,21963,-11.48
340596,-230,21934,-11.48
340656,-240,21903,-11.48
340716,-240,21873,-11.48
340776,-250,21840,-11.48
340836,-260,21806,-13.77
340896,-260,21773,-11.48
340956,-270,21735,-13.77
341017,-270,21701,-13.77
341077,-280,21663,-16.07
341137,-280,21628,-11.48
341197,-290,21591,-16.07
341257,-290,21552,-13.77
341317,-300,21517,-16.07
341377,-310,21474,-16.07
341437,-310,21439,-16.07
341497,-320,21393,-18.36
341558,-320,21349,-18.36
341618,-330,21297,-20.66
341678,-330,21243,-20.66
341738,-340,21184,-22.95
341798,-340,21124,-22.95
341858,-350,21063,-22.95
341918,-360,21001,-25.25
341978,-360,20937,-25.25
342038,-370,20871,-25.25
342099,-370,20804,-25.25
342159,-380,20736,-25.25
342219,-380,20666,-27.55
342279,-390,20594,-27.55
342339,-390,20521,-27.55
342399,-400,20446,-29.84
342459,-410,20370,-29.84
342519,-410,20294,-32.14
342579,-420,20218,-29.84
342640,-420,20141,-29.84
342700,-430,20064,-27.55
342760,-430,19984,-32.14
342820,-440,19905,-29.84
342880,-440,19825,-29.84
342940,-450,19745,-29.84
343000,-460,19664,-29.84
343060,-460,19585,-27.55
343120,-470,19505,-29.84
343181,-470,19424,-32.14
343241,-480,19338,-34.43
343301,-480,19246,-36.73
343361,-490,19151,-39.02
343421,-490,19054,-36.73
343481,-500,18956,-36.73
343541,-510,18856,-36.73
343601,-510,18754,-39.02
343661,-520,18652,-39.02
343722,-520,18547,-39.02
343782,-530,18441,-39.02
343842,-530,18333,-41.32
343902,-540,18226,-41.32
343962,-540,18120,-39.02
344022,-550,18011,-41.32
344082,-560,17903,-41.32
344142,-560,17794,-41.32
344202,-570,17687,-41.32
344263,-570,17580,-41.32
344323,-580,17472,-41.32
344383,-580,17360,-43.61
344443,-590,17242,-45.91
344503,-590,17122,-45.91
344563,-600,17000,-45.91
344623,-610,16876,-45.91
344683,-610,16749,-48.20
344743,-620,16622,-50.50
344804,-620,16493,-48.20
344864,-630,16363,-50.50
344924,-630,16233,-48.20
344984,-640,16102,-50.50
345044,-640,15971,-50.50
345104,-650,15840,-48.20
345164,-660,15710,-50.50
345224,-660,15581,-48.20
345284,-670,15451,-50.50
345345,-670,15313,-52.80
345405,-680,15172,-55.09
345465,-680,15030,-52.80
345525,-690,14885,-55.09
345585,-690,14738,-57.39
345645,-700,14590,-55.09
345705,-710,14440,-57.39
345765,-710,14290,-57.39
345825,-720,14140,-57.39
345886,-720,13989,-57.39
345946,-730,13838,-57.39
346006,-730,13689,-55.09
346066,-740,13540,-57.39
346126,-740,13386,-59.68
346186,-750,13227,-61.98
346246,-760,13066,-61.98
346306,-760,12903,-61.98
346366,-770,12738,-64.27
346427,-770,12572,-64.27
346487,-780,12404,-64.27
346547,-780,12236,-66.57
346607,-790,12067,-66.57
346667,-790,11898,-64.27
346727,-800,11732,-61.98
346787,-810,11567,-61.98
346847,-810,11395,-66.57
346907,-800,11221,-64.27
346968,-800,11047,-66.57
347028,-790,10873,-66.57
347088,-790,10701,-66.57
347148,-780,10531,-64.27
347208,-780,10362,-64.27
347268,-770,10196,-64.27
347328,-760,10031,-61.98
347388,-760,9869,-61.98
347448,-750,9713,-59.68
347509,-750,9560,-59.68
347569,-740,9402,-59.68
347629,-740,9244,-59.68
347689,-730,9086,-59.68
347749,-730,8929,-59.68
347809,-720,8773,-59.68
347869,-710,8618,-57.39
347929,-710,8465,-57.39
347989,-700,8315,-57.39
348050,-700,8166,-59.68
348110,-690,8019,-57.39
348170,-690,7876,-52.80
348230,-680,7738,-50.50
348290,-680,7601,-52.80
348350,-670,7461,-55.09
348410,-660,7320,-52.80
348470,-660,7180,-55.09
348530,-650,7041,-52.80
348591,-650,6903,-52.80
348651,-640,6766,-52.80
348711,-640,6630,-52.80
348771,-630,6497,-50.50
348831,-630,6366,-50.50
348891,-620,6236,-50.50
348951,-610,6108,-48.20
349011,-610,5982,-48.20
349071,-600,5861,-43.61
349132,-600,5744,-45.91
349192,-590,5627,-43.61
349252,-590,5507,-45.91
349312,-580,5386,-45.91
349372,-580,5267,-45.91
349432,-570,5149,-43.61
349492,-560,5031,-43.61
349552,-560,4915,-43.61
349612,-550,4799,-43.61
349673,-550,4685,-43.61
349733,-540,4573,-41.32
349793,-540,4464,-41.32
349853,-530,4356,-41.32
349913,-530,4249,-41.32
349973,-520,4145,-39.02
350033,-510,4042,-39.02
350093,-510,3945,-36.73
350153,-500,3850,-36.73
350214,-500,3758,-36.73
350274,-490,3665,-36.73
350334,-490,3570,-36.73
350394,-480,3474,-36.73
350454,-480,3379,-36.73
350514,-470,3286,-36.73
350574,-460,3194,-34.43
350634,-460,3103,-34.43
350694,-450,3012,-34.43
350755,-450,2923,-34.43
350815,-440,2835,-34.43
350875,-440,2748,-34.43
350935,-430,2664,-29.84
350995,-430,2581,-29.84
351055,-420,2501,-29.84
351115,-410,2422,-27.55
351175,-410,2344,-29.84
351235,-400,2268,-27.55
351296,-400,2193,-27.55
351356,-390,2120,-27.55
351416,-390,2051,-27.55
351476,-380,1987,-25.25
351536,-380,1926,-20.66
351596,-370,1865,-20.66
351656,-360,1807,-22.95
351716,-360,1749,-20.66
351776,-350,1688,-22.95
351837,-350,1626,-25.25
351897,-340,1564,-22.95
351957,-340,1504,-22.95
352017,-330,1444,-22.95
352077,-330,1386,-20.66
352137,-320,1329,-20.66
352197,-310,1273,-22.95
352257,-310,1219,-20.66
352317,-300,1165,-20.66
352378,-300,1113,-20.66
352438,-290,1063,-20.66
352498,-290,1013,-20.66
352558,-280,965,-18.36
352618,-280,918,-16.07
352678,-270,872,-16.07
352738,-260,827,-18.36
352798,-260,785,-16.07
352858,-250,743,-13.77
352919,-250,704,-13.77
352979,-240,666,-13.77
353039,-240,630,-13.77
353099,-230,595,-13.77
353159,-230,562,-13.77
353219,-220,532,-9.18
353279,-210,502,-9.18
353339,-210,475,-9.18
353399,-200,448,-9.18
353460,-200,421,-11.48
353520,-190,398,-6.89
353580,-190,374,-9.18
353640,-180,352,-6.89
353700,-180,331,-6.89
353760,-170,316,-6.89
353820,-160,298,-4.59
353880,-160,281,-6.89
353940,-150,267,-4.59
354001,-150,253,-2.30
354061,-140,253,0.00
354121,-140,253,0.00
354181,-130,253,0.00
354241,-130,253,0.00
354301,-120,253,0.00
354361,-110,253,0.00
354421,-110,253,0.00
354481,-100,253,0.00
354542,-100,253,0.00
354602,-90,253,0.00
354662,-90,253,0.00
354722,-80,253,0.00
354782,-80,253,0.00
354842,-70,253,0.00
354902,-60,253,0.00
354962,-60,253,0.00
355022,-50,253,0.00
355083,-50,253,0.00
355143,-40,253,0.00
355203,-40,253,0.00
355263,-30,254,0.00
355323,-30,254,0.00
355383,-20,254,0.00
355443,-10,254,0.00
355503,-10,254,0.00
355563,0,254,0.00
355624,0,254,0.00
355684,10,254,0.00
355744,10,254,0.00
355804,20,254,0.00
355864,20,254,0.00
355924,30,254,0.00
355984,40,254,0.00
356044,40,254,0.00
356104,50,254,0.00
356165,50,254,0.00
356225,60,254,0.00
356285,60,254,0.00
356345,70,254,0.00
356405,70,254,0.00
356465,80,254,0.00
356525,90,255,2.30
356585,90,255,0.00
356645,100,255,0.00
356706,100,255,0.00
356766,110,255,0.00
356826,110,255,0.00
356886,120,256,0.00
356946,120,256,0.00
357006,130,256,0.00
357066,140,256,0.00
357126,140,256,0.00
357186,150,256,0.00
357247,150,261,0.00
357307,160,261,0.00
357367,160,261,0.00
357427,170,261,0.00
357487,170,261,0.00
357547,180,261,0.00
357607,190,261,0.00
357667,190,261,0.00
357727,200,261,0.00
357788,200,261,0.00
357848,210,261,0.00
357908,210,261,0.00
357968,220,261,0.00
358028,220,261,0.00
358088,230,268,6.89
358148,240,293,9.18
358208,240,323,11.48
358268,250,354,11.48
358329,250,387,13.77
358389,260,423,13.77
358449,260,461,16.07
358509,270,501,16.07
358569,270,540,16.07
358629,280,583,16.07
358689,290,628,18.36
358749,290,674,18.36
358809,300,720,18.36
358870,300,769,18.36
358930,310,819,20.66
358990,310,870,18.36
359050,320,922,18.36
359110,320,975,20.66
359170,330,1030,20.66
359230,340,1085,20.66
359290,340,1142,20.66
359350,350,1201,20.66
359410,350,1262,22.95
359471,360,1325,25.25
359531,360,1390,25.25
359591,370,1455,25.25
359651,370,1522,25.25
359711,380,1591,27.55
