Time,Wheel Input,Wheel Ticks,Wheel Speed
6317,830,2925,68.86
6378,830,3110,71.16
6438,790,3293,68.86
6498,790,3469,66.57
6558,750,3639,61.98
6618,750,3803,61.98
6678,710,3962,59.68
6738,670,4119,59.68
6798,670,4268,55.09
6858,630,4415,55.09
6919,630,4554,52.80
6979,590,4687,48.20
7039,590,4815,50.50
7099,550,4936,45.91
7159,550,5053,43.61
7219,510,5163,39.02
7279,470,5270,39.02
7339,470,5369,36.73
7399,430,5464,34.43
7460,430,5551,34.43
7520,390,5632,29.84
7580,390,5707,27.55
7640,350,5777,25.25
7700,350,5843,25.25
7760,310,5904,22.95
7820,270,5961,22.95
7880,270,6011,20.66
7940,230,6057,16.07
8001,230,6097,13.77
8061,190,6132,11.48
8121,190,6162,11.48
8181,150,6185,9.18
8241,150,6203,6.89
8301,110,6219,4.59
8361,70,6219,0.00
8421,70,6219,0.00
8481,30,6219,0.00
8542,30,6217,0.00
8602,-10,6217,0.00
8662,-10,6217,0.00
8722,-50,6216,0.00
8782,-50,6216,0.00
8842,-90,6216,0.00
8902,-130,6216,0.00
8962,-130,6209,-2.30
9022,-170,6203,-4.59
9083,-170,6183,-9.18
9143,-210,6160,-11.48
9203,-210,6131,-11.48
9263,-250,6097,-13.77
9323,-250,6058,-13.77
9383,-290,6012,-18.36
9443,-330,5963,-18.36
9503,-330,5905,-22.95
9563,-370,5846,-25.25
9624,-370,5780,-25.25
9684,-410,5709,-27.55
9744,-410,5633,-29.84
9804,-450,5552,-32.14
9864,-450,5467,-34.43
9924,-490,5373,-39.02
9984,-530,5275,-39.02
10044,-530,5167,-41.32
10104,-570,5056,-43.61
10165,-570,4937,-45.91
10225,-610,4813,-50.50
10285,-610,4684,-48.20
10345,-650,4549,-52.80
10405,-650,4409,-55.09
10465,-690,4263,-57.39
10525,-730,4115,-57.39
10585,-730,3959,-59.68
10645,-770,3801,-61.98
10706,-770,3637,-64.27
10766,-810,3469,-66.57
10826,-810,3293,-66.57
10886,-770,3119,-66.57
10946,-770,2950,-64.27
