Time,Wheel Input,Wheel Ticks,Wheel Speed
12789,810,16096,82.64
12850,800,16311,82.64
12910,800,16523,80.34
12970,790,16735,80.34
13030,790,16945,80.34
13090,780,17153,78.05
13150,780,17360,78.05
13210,770,17566,78.05
13270,760,17770,78.05
13330,760,17973,78.05
13391,750,18175,78.05
13451,750,18376,78.05
13511,740,18574,75.75
13571,740,18771,73.45
13631,730,18967,73.45
13691,730,19161,73.45
13751,720,19355,75.75
13811,710,19546,71.16
13871,710,19736,73.45
13932,700,19925,73.45
13992,700,20112,71.16
14052,690,20298,71.16
14112,690,20482,68.86
14172,680,20665,68.86
14232,680,20847,68.86
14292,670,21027,68.86
14352,660,21205,66.57
14412,660,21383,68.86
14473,650,21558,66.57
14533,650,21732,64.27
14593,640,21905,64.27
14653,640,22077,64.27
14713,630,22248,64.27
14773,630,22417,64.27
14833,620,22584,64.27
14893,610,22750,64.27
14953,610,22913,61.98
15014,600,23077,64.27
15074,600,23237,59.68
15134,590,23397,59.68
15194,590,23555,59.68
15254,580,23713,59.68
15314,580,23869,59.68
15374,570,24023,59.68
15434,560,24176,57.39
15495,560,24328,57.39
15555,550,24478,57.39
15615,550,24626,57.39
15675,540,24773,57.39
15735,540,24919,57.39
15795,530,25063,55.09
15855,530,25205,52.80
15915,520,25347,55.09
15975,510,25487,52.80
16036,510,25625,50.50
16096,500,25763,52.80
16156,500,25898,50.50
16216,490,26032,50.50
16276,490,26165,50.50
16336,480,26297,48.20
16396,480,26427,50.50
16456,470,26555,48.20
16516,460,26683,50.50
16577,460,26808,48.20
16637,450,26932,45.91
16697,450,27055,48.20
16757,440,27176,45.91
16817,440,27296,45.91
16877,430,27415,45.91
16937,430,27533,45.91
16997,420,27648,43.61
17057,410,27763,43.61
17118,410,27875,41.32
17178,400,27988,43.61
17238,400,28099,43.61
17298,390,28207,41.32
17358,390,28315,43.61
17418,380,28420,39.02
17478,380,28525,41.32
17538,370,28628,39.02
17598,360,28729,39.02
17659,360,28829,39.02
17719,350,28928,39.02
17779,350,29025,39.02
17839,340,29121,36.73
17899,340,29215,34.43
17959,330,29308,34.43
18019,330,29400,36.73
18079,320,29490,34.43
18139,310,29579,34.43
18200,310,29667,34.43
18260,300,29753,32.14
18320,300,29838,32.14
18380,290,29922,32.14
18440,290,30003,29.84
18500,280,30084,29.84
18560,280,30164,29.84
18620,270,30242,29.84
18680,260,30318,29.84
18741,260,30393,27.55
18801,250,30466,27.55
18861,250,30537,25.25
18921,240,30608,25.25
18981,240,30677,25.25
19041,230,30745,25.25
19101,230,30812,25.25
19161,220,30877,22.95
19221,210,30941,22.95
19282,210,31003,22.95
19342,200,31064,25.25
19402,200,31122,22.95
19462,190,31179,20.66
19522,190,31235,20.66
19582,180,31290,20.66
19642,180,31344,18.36
19702,170,31397,20.66
19762,160,31448,18.36
19823,160,31498,18.36
19883,150,31546,16.07
19943,150,31593,18.36
20003,140,31639,18.36
20063,140,31682,16.07
20123,130,31725,16.07
20183,130,31766,16.07
20243,120,31806,13.77
20303,110,31845,13.77
20364,110,31882,13.77
20424,100,31917,11.48
20484,100,31952,11.48
20544,90,31985,11.48
20604,90,32016,11.48
20664,80,32047,13.77
20724,80,32076,11.48
20784,70,32104,9.18
20844,60,32130,11.48
20905,60,32155,11.48
20965,50,32177,9.18
21025,50,32199,9.18
21085,40,32219,6.89
21145,40,32239,6.89
21205,30,32256,9.18
21265,30,32271,4.59
21325,20,32287,4.59
21385,10,32297,4.59
21446,10,32311,6.89
21506,0,32316,0.00
21566,0,32316,0.00
21626,-10,32311,-2.30
21686,-10,32306,0.00
21746,-20,32306,0.00
21806,-20,32306,0.00
21866,-30,32306,0.00
21926,-40,32306,0.00
21987,-40,32306,0.00
22047,-50,32306,0.00
22107,-50,32306,0.00
22167,-60,32306,0.00
22227,-60,32303,-2.30
22287,-70,32284,-11.48
22347,-70,32264,-9.18
22407,-80,32239,-11.48
22467,-90,32216,-9.18
22528,-90,32189,-9.18
22588,-100,32161,-11.48
22648,-100,32132,-11.48
22708,-110,32101,-16.07
22768,-110,32069,-13.77
22828,-120,32037,-11.48
22888,-120,32003,-11.48
22948,-130,31966,-13.77
23008,-140,31930,-13.77
23069,-140,31891,-13.77
23129,-150,31851,-13.77
23189,-150,31808,-16.07
23249,-160,31766,-16.07
23309,-160,31722,-16.07
23369,-170,31677,-18.36
23429,-170,31631,-18.36
23489,-180,31584,-18.36
23549,-190,31535,-18.36
23610,-190,31485,-18.36
23670,-200,31433,-20.66
23730,-200,31380,-20.66
23790,-210,31326,-20.66
23850,-210,31269,-22.95
23910,-220,31212,-20.66
23970,-220,31152,-22.95
24030,-230,31091,-22.95
24090,-240,31029,-25.25
24151,-240,30966,-22.95
24211,-250,30901,-27.55
24271,-250,30835,-27.55
24331,-260,30768,-25.25
24391,-260,30700,-25.25
24451,-270,30629,-27.55
24511,-270,30558,-25.25
24571,-280,30484,-29.84
24631,-290,30410,-29.84
24692,-290,30335,-29.84
24752,-300,30257,-32.14
24812,-300,30179,-29.84
24872,-310,30098,-32.14
24932,-310,30016,-32.14
24992,-320,29934,-29.84
25052,-320,29850,-32.14
25112,-330,29765,-34.43
25172,-340,29679,-34.43
25233,-340,29592,-34.43
25293,-350,29504,-34.43
25353,-350,29414,-34.43
25413,-360,29322,-36.73
25473,-360,29229,-36.73
25533,-370,29135,-36.73
25593,-370,29039,-34.43
25653,-380,28940,-39.02
25713,-390,28841,-39.02
25774,-390,28741,-39.02
25834,-400,28640,-39.02
25894,-400,28536,-41.32
25954,-410,28432,-39.02
26014,-410,28325,-41.32
26074,-420,28218,-41.32
26134,-420,28110,-39.02
26194,-430,28000,-39.02
26254,-440,27888,-43.61
26315,-440,27775,-43.61
26375,-450,27661,-45.91
26435,-450,27547,-43.61
26495,-460,27431,-43.61
26555,-460,27312,-45.91
26615,-470,27193,-45.91
26675,-470,27072,-45.91
26735,-480,26949,-48.20
26795,-490,26826,-48.20
26856,-490,26701,-48.20
26916,-500,26575,-48.20
26976,-500,26447,-48.20
27036,-510,26317,-50.50
27096,-510,26187,-48.20
27156,-520,26054,-50.50
27216,-520,25921,-50.50
27276,-530,25786,-52.80
27336,-540,25651,-52.80
27397,-540,25514,-52.80
27457,-550,25376,-52.80
27517,-550,25236,-52.80
27577,-560,25094,-55.09
27637,-560,24951,-55.09
27697,-570,24807,-55.09
27757,-570,24661,-55.09
27817,-580,24514,-55.09
27877,-590,24366,-55.09
27938,-590,24215,-57.39
27998,-600,24064,-57.39
28058,-600,23911,-59.68
28118,-610,23757,-61.98
28178,-610,23603,-59.68
28238,-620,23447,-59.68
28298,-620,23290,-59.68
28358,-630,23131,-59.68
28418,-640,22971,-59.68
28479,-640,22809,-61.98
28539,-650,22646,-61.98
28599,-650,22480,-64.27
28659,-660,22314,-64.27
28719,-660,22146,-66.57
28779,-670,21977,-66.57
28839,-670,21808,-64.27
28899,-680,21636,-66.57
28959,-690,21464,-66.57
29020,-690,21291,-64.27
29080,-700,21114,-68.86
29140,-700,20937,-68.86
29200,-710,20759,-68.86
29260,-710,20579,-68.86
29320,-720,20397,-71.16
29380,-720,20215,-68.86
29440,-730,20031,-68.86
29500,-740,19845,-71.16
29561,-740,19659,-73.45
29621,-750,19472,-71.16
29681,-750,19282,-73.45
29741,-760,19091,-73.45
29801,-760,18900,-71.16
29861,-770,18706,-75.75
29921,-770,18511,-75.75
29981,-780,18315,-73.45
30041,-790,18117,-73.45
30102,-790,17917,-78.05
30162,-800,17717,-78.05
30222,-800,17516,-78.05
30282,-810,17313,-78.05
30342,-810,17109,-78.05
30402,-800,16905,-78.05
30462,-800,16704,-75.75
30522,-790,16503,-75.75
30583,-780,16303,-75.75
30643,-780,16104,-75.75
30703,-770,15908,-75.75
30763,-770,15713,-75.75
30823,-760,15520,-73.45
30883,-760,15328,-73.45
30943,-750,15137,-71.16
31003,-750,14947,-71.16
31063,-740,14759,-73.45
31124,-730,14571,-71.16
31184,-730,14385,-71.16
31244,-720,14201,-68.86
31304,-720,14018,-68.86
31364,-710,13837,-68.86
31424,-710,13657,-68.86
31484,-700,13479,-66.57
31544,-700,13301,-68.86
31604,-690,13125,-68.86
31665,-680,12950,-68.86
31725,-680,12777,-66.57
31785,-670,12605,-64.27
31845,-670,12433,-66.57
31905,-660,12263,-66.57
31965,-660,12096,-64.27
32025,-650,11929,-64.27
32085,-650,11764,-64.27
32145,-640,11601,-61.98
32206,-630,11438,-61.98
32266,-630,11277,-61.98
32326,-620,11117,-61.98
32386,-620,10958,-61.98
32446,-610,10800,-61.98
32506,-610,10644,-61.98
32566,-600,10489,-59.68
32626,-600,10335,-57.39
32686,-590,10183,-57.39
32747,-580,10032,-57.39
32807,-580,9884,-55.09
32867,-570,9736,-57.39
32927,-570,9591,-52.80
32987,-560,9445,-55.09
33047,-560,9301,-55.09
33107,-550,9158,-55.09
33167,-550,9017,-52.80
33227,-540,8876,-55.09
33288,-530,8737,-55.09
33348,-530,8600,-52.80
33408,-520,8463,-52.80
33468,-520,8329,-50.50
33528,-510,8196,-50.50
33588,-510,8064,-52.80
33648,-500,7935,-48.20
33708,-500,7806,-50.50
33768,-490,7679,-48.20
33829,-480,7553,-48.20
33889,-480,7428,-48.20
33949,-470,7304,-48.20
34009,-470,7183,-45.91
34069,-460,7061,-45.91
34129,-460,6943,-43.61
34189,-450,6824,-45.91
34249,-450,6706,-45.91
34309,-440,6591,-43.61
34370,-430,6477,-41.32
34430,-430,6364,-43.61
34490,-420,6253,-43.61
34550,-420,6144,-41.32
34610,-410,6035,-41.32
34670,-410,5929,-41.32
34730,-400,5824,-41.32
34790,-400,5720,-39.02
34850,-390,5617,-39.02
34911,-380,5515,-39.02
34971,-380,5415,-39.02
35031,-370,5316,-36.73
35091,-370,5219,-36.73
35151,-360,5123,-34.43
35211,-360,5028,-34.43
35271,-350,4933,-36.73
35331,-350,4841,-36.73
35391,-340,4751,-32.14
35452,-330,4660,-34.43
35512,-330,4572,-34.43
35572,-320,4485,-32.14
35632,-320,4400,-29.84
35692,-310,4316,-29.84
35752,-310,4234,-29.84
35812,-300,4153,-29.84
35872,-300,4074,-29.84
35932,-290,3995,-29.84
35993,-280,3919,-29.84
36053,-280,3844,-27.55
36113,-270,3770,-27.55
36173,-270,3697,-29.84
36233,-260,3626,-27.55
36293,-260,3556,-27.55
36353,-250,3487,-25.25
36413,-250,3419,-25.25
36473,-240,3353,-25.25
36534,-230,3288,-25.25
36594,-230,3225,-25.25
36654,-220,3163,-22.95
36714,-220,3103,-22.95
36774,-210,3044,-20.66
36834,-210,2985,-22.95
36894,-200,2928,-20.66
36954,-200,2872,-22.95
37014,-190,2818,-20.66
37075,-180,2765,-20.66
37135,-180,2714,-20.66
37195,-170,2664,-18.36
37255,-170,2616,-20.66
37315,-160,2569,-18.36
37375,-160,2524,-18.36
37435,-150,2479,-16.07
37495,-150,2436,-16.07
37555,-140,2395,-13.77
37616,-130,2355,-13.77
37676,-130,2317,-13.77
37736,-120,2279,-13.77
37796,-120,2244,-11.48
37856,-110,2210,-11.48
37916,-110,2177,-13.77
37976,-100,2145,-13.77
38036,-100,2116,-9.18
38096,-90,2088,-9.18
38157,-80,2061,-9.18
38217,-80,2035,-9.18
38277,-70,2011,-6.89
38337,-70,1988,-6.89
38397,-60,1965,-9.18
38457,-60,1947,-9.18
38517,-50,1928,-6.89
38577,-50,1909,-4.59
38637,-40,1895,-4.59
38698,-30,1880,-2.30
38758,-30,1866,-6.89
38818,-20,1856,-2.30
38878,-20,1855,0.00
38938,-10,1855,0.00
38998,-10,1855,0.00
39058,0,1855,0.00
39118,0,1855,0.00
39178,10,1864,6.89
39239,20,1868,0.00
39299,20,1868,0.00
39359,30,1868,0.00
39419,30,1868,0.00
39479,40,1868,0.00
39539,40,1874,2.30
39599,50,1892,9.18
39659,50,1908,6.89
39719,60,1929,6.89
39780,70,1952,6.89
39840,70,1976,9.18
39900,80,2001,9.18
39960,80,2027,9.18
40020,90,2056,11.48
40080,90,2084,11.48
40140,100,2115,11.48
40200,100,2147,13.77
40260,110,2181,13.77
40321,120,2215,11.48
40381,120,2252,16.07
40441,130,2290,16.07
40501,130,2329,16.07
40561,140,2369,13.77
40621,140,2412,18.36
40681,150,2455,18.36
40741,150,2499,16.07
40801,160,2546,18.36
40862,170,2593,18.36
40922,170,2642,18.36
40982,180,2692,18.36
41042,180,2744,20.66
41102,190,2796,18.36
41162,190,2851,22.95
41222,200,2906,22.95
41282,200,2962,20.66
41342,210,3020,20.66
41403,220,3080,22.95
41463,220,3142,25.25
41523,230,3205,22.95
41583,230,3269,22.95
41643,240,3336,25.25
41703,240,3404,27.55
41763,250,3472,25.25
41823,250,3542,27.55
41883,260,3613,27.55
41944,270,3685,27.55
42004,270,3760,27.55
42064,280,3836,27.55
42124,280,3915,32.14
42184,290,3993,29.84
42244,290,4074,32.14
42304,300,4155,32.14
42364,300,4239,32.14
42424,310,4323,32.14
42485,320,4409,32.14
42545,320,4497,32.14
42605,330,4586,34.43
42665,330,4677,34.43
42725,340,4769,36.73
42785,340,4862,34.43
42845,350,4956,36.73
42905,350,5051,36.73
42965,360,5148,36.73
43026,370,5247,36.73
43086,370,5348,39.02
43146,380,5449,39.02
43206,380,5552,36.73
43266,390,5657,39.02
43326,390,5763,41.32
43386,400,5870,41.32
43446,400,5979,41.32
43506,410,6089,41.32
43567,420,6201,43.61
43627,420,6315,43.61
43687,430,6430,43.61
43747,430,6546,43.61
43807,440,6664,45.91
43867,440,6783,45.91
43927,450,6903,45.91
43987,450,7024,45.91
44047,460,7148,48.20
44108,470,7271,45.91
44168,470,7398,48.20
44228,480,7525,48.20
44288,480,7655,50.50
44348,490,7785,50.50
44408,490,7916,50.50
44468,500,8049,48.20
44528,500,8185,52.80
44588,510,8321,52.80
44649,520,8459,55.09
44709,520,8598,55.09
44769,530,8738,52.80
44829,530,8880,55.09
44889,540,9023,55.09
44949,540,9168,57.39
45009,550,9313,55.09
45069,550,9461,57.39
45129,560,9609,55.09
45190,570,9760,57.39
45250,570,9912,59.68
45310,580,10065,59.68
45370,580,10220,59.68
45430,590,10377,61.98
45490,590,10535,61.98
45550,600,10693,59.68
45610,600,10854,61.98
45670,610,11015,61.98
45731,620,11178,59.68
45791,620,11344,64.27
45851,630,11509,64.27
45911,630,11677,64.27
45971,640,11846,66.57
46031,640,12017,66.57
46091,650,12189,66.57
46151,650,12363,68.86
46211,660,12537,66.57
46272,670,12713,66.57
46332,670,12891,66.57
46392,680,13071,71.16
46452,680,13251,71.16
46512,690,13432,71.16
46572,690,13615,71.16
46632,700,13799,71.16
46692,700,13984,71.16
46752,710,14172,73.45
46813,720,14361,73.45
46873,720,14552,73.45
46933,730,14744,75.75
46993,730,14937,75.75
47053,740,15131,73.45
47113,740,15328,75.75
47173,750,15525,75.75
47233,750,15724,75.75
47293,760,15925,78.05
47354,770,16127,78.05
47414,770,16331,78.05
47474,780,16536,78.05
47534,780,16743,80.34
47594,790,16950,78.05
