Time,Wheel Input,Wheel Ticks,Wheel Speed
28527,-640,-7129,-66.57
28587,-650,-7307,-68.86
28647,-650,-7487,-68.86
28708,-660,-7669,-71.16
28768,-670,-7851,-68.86
28828,-670,-8036,-71.16
28888,-680,-8221,-68.86
28948,-680,-8408,-71.16
29008,-690,-8596,-73.45
29068,-690,-8785,-71.16
29128,-700,-8977,-75.75
29188,-700,-9169,-73.45
29249,-710,-9362,-73.45
29309,-720,-9557,-75.75
29369,-720,-9755,-78.05
29429,-730,-9953,-78.05
29489,-730,-10152,-75.75
29549,-740,-10353,-75.75
29609,-740,-10555,-75.75
29669,-750,-10758,-78.05
29729,-750,-10963,-80.34
29790,-760,-11169,-78.05
29850,-770,-11376,-80.34
29910,-770,-11585,-78.05
29970,-780,-11796,-82.64
30030,-780,-12008,-82.64
30090,-790,-12220,-80.34
30150,-790,-12435,-82.64
30210,-800,-12650,-82.64
30270,-800,-12868,-84.93
30331,-810,-13086,-84.93
30391,-800,-13305,-82.64
30451,-800,-13523,-82.64
30511,-790,-13740,-82.64
30571,-790,-13956,-82.64
30631,-780,-14170,-80.34
30691,-780,-14382,-80.34
30751,-770,-14593,-80.34
30811,-770,-14803,-80.34
30872,-760,-15012,-80.34
30932,-750,-15219,-80.34
30992,-750,-15424,-80.34
31052,-740,-15629,-78.05
31112,-740,-15833,-78.05
31172,-730,-16035,-78.05
31232,-730,-16235,-75.75
31292,-720,-16433,-73.45
31352,-720,-16631,-73.45
31413,-710,-16827,-73.45
31473,-700,-17022,-75.75
31533,-700,-17215,-73.45
31593,-690,-17407,-73.45
31653,-690,-17598,-73.45
31713,-680,-17787,-71.16
31773,-680,-17975,-71.16
31833,-670,-18161,-68.86
31893,-670,-18346,-68.86
31954,-660,-18530,-68.86
32014,-660,-18712,-68.86
32074,-650,-18894,-68.86
32134,-640,-19074,-68.86
32194,-640,-19253,-68.86
32254,-630,-19431,-68.86
32314,-630,-19607,-66.57
32374,-620,-19783,-68.86
32434,-620,-19956,-66.57
32495,-610,-20127,-64.27
32555,-610,-20298,-66.57
32615,-600,-20466,-64.27
32675,-590,-20634,-64.27
32735,-590,-20800,-61.98
32795,-580,-20966,-61.98
32855,-580,-21129,-61.98
32915,-570,-21292,-61.98
32976,-570,-21453,-59.68
33036,-560,-21613,-59.68
33096,-560,-21772,-61.98
33156,-550,-21928,-57.39
33216,-540,-22084,-57.39
33276,-540,-22238,-59.68
33336,-530,-22390,-57.39
33396,-530,-22542,-59.68
33456,-520,-22692,-57.39
33517,-520,-22841,-57.39
33577,-510,-22988,-55.09
33637,-510,-23134,-55.09
33697,-500,-23279,-55.09
33757,-490,-23423,-55.09
33817,-490,-23565,-52.80
33877,-480,-23707,-52.80
33937,-480,-23846,-52.80
33997,-470,-23984,-52.80
34058,-470,-24120,-50.50
34118,-460,-24255,-52.80
34178,-460,-24388,-50.50
34238,-450,-24520,-48.20
34298,-440,-24652,-50.50
34358,-440,-24781,-50.50
34418,-430,-24908,-45.91
34478,-430,-25035,-48.20
34538,-420,-25161,-45.91
34599,-420,-25286,-48.20
34659,-410,-25409,-48.20
34719,-410,-25531,-45.91
34779,-400,-25651,-45.91
34839,-390,-25770,-43.61
34899,-390,-25887,-43.61
34959,-380,-26003,-43.61
35019,-380,-26116,-43.61
35079,-370,-26229,-41.32
35140,-370,-26341,-43.61
35200,-360,-26451,-41.32
35260,-360,-26560,-41.32
35320,-350,-26667,-39.02
35380,-340,-26773,-39.02
