Time,Wheel Input,Wheel Ticks,Wheel Speed
8001,370,3733,39.02
8061,370,3837,41.32
8121,380,3942,41.32
8181,380,4048,41.32
8241,390,4156,43.61
8301,390,4264,39.02
8361,400,4375,41.32
8421,410,4487,43.61
8481,410,4600,43.61
8542,420,4714,45.91
8602,420,4830,43.61
8662,430,4947,43.61
8722,430,5066,45.91
8782,440,5186,45.91
8842,440,5307,45.91
8902,450,5430,48.20
8962,460,5555,50.50
9022,460,5681,48.20
9083,470,5808,48.20
9143,470,5937,48.20
9203,480,6068,52.80
9263,480,6200,50.50
9323,490,6334,52.80
9383,490,6468,52.80
9443,500,6604,52.80
9503,510,6741,52.80
9563,510,6880,52.80
9624,520,7020,55.09
9684,520,7161,52.80
9744,530,7304,55.09
9804,530,7449,55.09
9864,540,7595,55.09
9924,540,7743,57.39
9984,550,7892,59.68
10044,560,8042,57.39
10104,560,8194,57.39
10165,570,8347,59.68
10225,570,8502,59.68
10285,580,8658,59.68
10345,580,8815,59.68
10405,590,8974,61.98
10465,590,9134,61.98
10525,600,9296,61.98
10585,610,9459,64.27
10645,610,9624,64.27
10706,620,9790,64.27
10766,620,9958,64.27
10826,630,10128,66.57
10886,630,10298,66.57
10946,640,10470,66.57
11006,640,10644,68.86
11066,650,10818,66.57
11126,660,10994,66.57
11187,660,11172,68.86
11247,670,11351,68.86
11307,670,11532,71.16
11367,680,11714,68.86
11427,680,11898,71.16
11487,690,12083,71.16
11547,690,12270,71.16
11607,700,12457,71.16
11667,710,12646,71.16
11728,710,12837,73.45
11788,720,13029,73.45
11848,720,13222,73.45
11908,730,13417,73.45
11968,730,13614,75.75
12028,740,13812,75.75
12088,740,14012,75.75
12148,750,14213,75.75
12208,760,14414,75.75
12269,760,14618,78.05
12329,770,14823,78.05
12389,770,15030,80.34
12449,780,15237,78.05
12509,780,15447,80.34
12569,790,15658,80.34
12629,790,15870,80.34
12689,800,16084,80.34
12749,810,16299,82.64
12810,810,16516,84.93
12870,800,16732,82.64
12930,800,16947,82.64
12990,790,17160,82.64
13050,790,17372,82.64
13110,780,17583,80.34
13170,780,17792,80.34
13230,770,18000,80.34
13290,760,18207,80.34
13351,760,18411,78.05
13411,750,18615,78.05
13471,750,18817,78.05
13531,740,19017,75.75
13591,740,19216,75.75
13651,730,19414,75.75
13711,730,19610,73.45
13771,720,19806,75.75
13831,710,20000,73.45
13892,710,20192,73.45
13952,700,20383,73.45
14012,700,20572,73.45
14072,690,20759,68.86
14132,690,20946,71.16
14192,680,21131,71.16
14252,680,21315,71.16
14312,670,21497,68.86
14372,660,21679,71.16
14433,660,21857,66.57
14493,650,22036,68.86
14553,650,22212,66.57
14613,640,22387,66.57
14673,640,22560,66.57
14733,630,22732,66.57
14793,630,22903,66.57
14853,620,23071,64.27
14913,610,23240,66.57
14974,610,23406,61.98
15034,600,23571,61.98
15094,600,23735,61.98
15154,590,23897,61.98
15214,590,24058,61.98
15274,580,24217,61.98
15334,580,24375,61.98
15394,570,24531,61.98
15454,560,24685,59.68
15515,560,24838,59.68
15575,550,24989,57.39
15635,550,25140,57.39
15695,540,25289,55.09
15755,540,25437,57.39
15815,530,25583,55.09
15875,530,25728,55.09
15935,520,25871,55.09
15995,510,26013,52.80
16056,510,26153,52.80
16116,500,26292,52.80
16176,500,26429,52.80
16236,490,26565,52.80
16296,490,26699,50.50
16356,480,26832,48.20
16416,480,26964,52.80
16476,470,27093,48.20
16536,460,27224,50.50
16597,460,27351,48.20
16657,450,27477,48.20
16717,450,27601,45.91
16777,440,27724,45.91
16837,440,27847,48.20
16897,430,27967,45.91
16957,430,28085,43.61
17017,420,28202,43.61
17077,410,28319,45.91
17138,410,28433,43.61
17198,400,28547,43.61
17258,400,28657,41.32
17318,390,28767,39.02
17378,390,28876,39.02
17438,380,28984,41.32
17498,380,29091,41.32
17558,370,29196,41.32
17618,360,29299,39.02
17679,360,29401,39.02
17739,350,29501,36.73
17799,350,29600,36.73
17859,340,29699,36.73
17919,340,29795,36.73
17979,330,29889,34.43
18039,330,29983,36.73
18099,320,30074,34.43
18160,310,30165,32.14
18220,310,30255,34.43
18280,300,30342,32.14
18340,300,30428,32.14
18400,290,30513,32.14
18460,290,30596,32.14
18520,280,30677,29.84
18580,280,30758,29.84
18640,270,30837,29.84
18701,260,30915,29.84
18761,260,30991,27.55
18821,250,31066,29.84
18881,250,31140,29.84
18941,240,31212,27.55
19001,240,31283,27.55
19061,230,31353,27.55
19121,230,31421,27.55
19181,220,31488,27.55
19242,210,31553,25.25
19302,210,31616,22.95
19362,200,31679,25.25
19422,200,31739,22.95
19482,190,31800,22.95
19542,190,31858,22.95
19602,180,31916,25.25
19662,180,31971,20.66
19722,170,32025,18.36
19783,160,32078,20.66
19843,160,32129,20.66
19903,150,32179,18.36
19963,150,32227,18.36
20023,140,32274,18.36
20083,140,32319,18.36
20143,130,32363,13.77
20203,130,32407,18.36
20263,120,32448,13.77
20324,110,32489,13.77
20384,110,32527,13.77
20444,100,32565,13.77
20504,100,32600,11.48
20564,90,32635,16.07
20624,90,32667,13.77
20684,80,32699,13.77
20744,80,32727,9.18
20804,70,32756,9.18
20865,60,32783,9.18
20925,60,32808,9.18
20985,50,32832,6.89
21045,50,32856,9.18
21105,40,32878,6.89
21165,40,32899,9.18
21225,30,32917,6.89
21285,30,32935,4.59
21345,20,32954,6.89
21406,10,32967,6.89
21466,10,32982,2.30
21526,0,32988,0.00
21586,0,32988,0.00
21646,-10,32986,-2.30
21706,-10,32973,-4.59
21766,-20,32972,0.00
21826,-20,32972,0.00
21886,-30,32972,0.00
21947,-40,32972,0.00
22007,-40,32972,0.00
22067,-50,32972,0.00
22127,-50,32972,0.00
22187,-60,32972,0.00
22247,-60,32967,-4.59
22307,-70,32947,-9.18
22367,-70,32923,-11.48
22427,-80,32900,-9.18
22488,-90,32873,-11.48
22548,-90,32845,-13.77
22608,-100,32816,-11.48
22668,-100,32785,-11.48
22728,-110,32753,-13.77
22788,-110,32719,-13.77
22848,-120,32683,-13.77
22908,-120,32647,-13.77
22968,-130,32608,-16.07
23029,-140,32569,-16.07
23089,-140,32528,-16.07
23149,-150,32487,-13.77
23209,-150,32443,-13.77
23269,-160,32398,-18.36
23329,-160,32352,-18.36
23389,-170,32305,-18.36
23449,-170,32256,-18.36
23509,-180,32206,-20.66
23570,-190,32154,-20.66
23630,-190,32101,-18.36
23690,-200,32046,-20.66
23750,-200,31989,-22.95
23810,-210,31932,-22.95
23870,-210,31873,-22.95
23930,-220,31814,-22.95
23990,-220,31752,-25.25
24050,-230,31690,-22.95
24111,-240,31625,-25.25
24171,-240,31559,-25.25
24231,-250,31492,-27.55
24291,-250,31424,-25.25
24351,-260,31355,-25.25
24411,-260,31284,-27.55
24471,-270,31212,-27.55
24531,-270,31139,-27.55
24591,-280,31064,-29.84
24652,-290,30989,-29.84
24712,-290,30912,-29.84
24772,-300,30833,-29.84
24832,-300,30752,-32.14
24892,-310,30670,-32.14
24952,-310,30586,-32.14
25012,-320,30501,-34.43
25072,-320,30416,-32.14
25133,-330,30328,-34.43
25193,-340,30240,-34.43
25253,-340,30149,-34.43
25313,-350,30057,-34.43
25373,-350,29963,-36.73
25433,-360,29869,-36.73
25493,-360,29773,-36.73
25553,-370,29676,-36.73
25613,-370,29577,-36.73
25674,-380,29477,-36.73
25734,-390,29376,-39.02
25794,-390,29273,-39.02
25854,-400,29169,-41.32
25914,-400,29065,-39.02
25974,-410,28959,-41.32
26034,-410,28851,-41.32
26094,-420,28742,-41.32
26154,-420,28631,-41.32
26215,-430,28518,-43.61
26275,-440,28405,-43.61
26335,-440,28290,-43.61
26395,-450,28174,-43.61
26455,-450,28055,-45.91
26515,-460,27935,-48.20
26575,-460,27815,-45.91
26635,-470,27692,-48.20
26695,-470,27569,-45.91
26756,-480,27444,-48.20
26816,-490,27319,-48.20
26876,-490,27192,-48.20
26936,-500,27064,-48.20
26996,-500,26934,-50.50
27056,-510,26803,-50.50
27116,-510,26670,-50.50
27176,-520,26536,-52.80
27236,-520,26401,-50.50
