Time,Wheel Input,Wheel Ticks,Wheel Speed
6267,840,3214,73.45
6327,800,3399,68.86
6387,800,3580,68.86
6447,760,3753,64.27
6508,720,3924,66.57
6568,720,4085,61.98
6628,680,4243,59.68
6688,680,4393,59.68
6748,640,4539,55.09
6808,640,4679,52.80
6868,600,4814,50.50
6928,600,4943,48.20
6988,560,5066,45.91
7049,520,5185,45.91
7109,520,5296,41.32
7169,480,5402,39.02
7229,480,5501,36.73
7289,440,5596,34.43
7349,440,5685,32.14
7409,400,5769,29.84
7469,400,5848,29.84
7529,360,5919,25.25
7590,320,5987,25.25
7650,320,6047,22.95
7710,280,6104,20.66
7770,280,6153,18.36
7830,240,6197,13.77
7890,240,6237,16.07
7950,200,6271,13.77
8010,200,6299,11.48
8070,160,6321,4.59
8131,120,6338,6.89
8191,120,6345,0.00
8251,80,6349,0.00
8311,80,6349,0.00
8371,40,6349,0.00
8431,40,6349,0.00
8491,0,6349,0.00
8551,0,6349,0.00
8611,-40,6348,0.00
8672,-80,6347,-2.30
8732,-80,6347,0.00
8792,-120,6346,0.00
8852,-120,6337,-2.30
8912,-160,6336,0.00
8972,-160,6336,0.00
9032,-200,6332,-4.59
9092,-200,6308,-9.18
9152,-240,6276,-13.77
9213,-280,6239,-16.07
9273,-280,6193,-18.36
9333,-320,6145,-18.36
9393,-320,6089,-22.95
9453,-360,6030,-25.25
9513,-360,5964,-25.25
9573,-400,5893,-29.84
9633,-400,5816,-29.84
9693,-440,5734,-32.14
9754,-480,5647,-32.14
9814,-480,5552,-36.73
9874,-520,5454,-39.02
9934,-520,5348,-41.32
9994,-560,5239,-43.61
10054,-560,5123,-43.61
10114,-600,5001,-50.50
10174,-600,4875,-48.20
10234,-640,4744,-50.50
10295,-680,4607,-52.80
10355,-680,4463,-57.39
10415,-720,4317,-57.39
10475,-720,4162,-59.68
10535,-760,4003,-64.27
10595,-760,3839,-64.27
10655,-800,3669,-66.57
10715,-800,3494,-66.57
10775,-840,3313,-71.16
10836,-800,3127,-73.45
10896,-800,2949,-68.86
10956,-760,2775,-64.27
11016,-760,2608,-64.27
11076,-720,2444,-61.98
11136,-720,2288,-59.68
11196,-680,2135,-57.39
11256,-680,1988,-57.39
11316,-640,1847,-50.50
11377,-600,1710,-50.50
11437,-600,1581,-48.20
11497,-560,1454,-48.20
11557,-560,1335,-45.91
11617,-520,1220,-41.32
11677,-520,1111,-41.32
11737,-480,1007,-39.02
11797,-480,908,-36.73
11857,-440,815,-34.43
11918,-400,727,-32.14
11978,-400,648,-27.55
12038,-360,570,-29.84
12098,-360,501,-25.25
12158,-320,436,-22.95
12218,-320,376,-22.95
12278,-280,321,-18.36
12338,-280,271,-18.36
12398,-240,227,-16.07
12459,-200,188,-13.77
12519,-200,157,-11.48
12579,-160,128,-11.48
12639,-160,108,-9.18
12699,-120,91,-2.30
12759,-120,84,-2.30
12819,-80,74,0.00
12879,-80,71,0.00
12939,-40,71,0.00
13000,0,71,0.00
13060,0,71,0.00
13120,40,71,0.00
13180,40,71,0.00
