Time,Wheel Input,Wheel Ticks,Wheel Speed
83869,790,13195,68.86
83929,780,13375,68.86
83989,780,13552,66.57
84049,770,13728,66.57
84109,770,13903,64.27
84169,760,14076,64.27
84229,750,14249,66.57
84289,750,14419,64.27
84350,740,14587,61.98
84410,740,14755,64.27
84470,730,14921,64.27
84530,730,15085,61.98
84590,720,15248,61.98
84650,720,15411,61.98
84710,710,15571,61.98
84770,700,15730,59.68
84831,700,15888,59.68
84891,690,16044,57.39
84951,690,16199,59.68
85011,680,16352,57.39
85071,680,16503,57.39
85131,670,16653,55.09
85191,670,16803,57.39
85251,660,16950,57.39
85311,650,17096,55.09
85372,650,17241,55.09
85432,640,17385,55.09
85492,640,17527,55.09
85552,630,17667,52.80
85612,630,17805,50.50
85672,620,17944,55.09
85732,620,18080,52.80
85792,610,18215,52.80
85852,600,18348,50.50
85913,600,18479,50.50
85973,590,18610,50.50
86033,590,18738,48.20
86093,580,18866,48.20
86153,580,18992,48.20
86213,570,19117,48.20
86273,570,19240,45.91
86333,560,19363,45.91
86393,550,19483,43.61
86454,550,19603,45.91
86514,540,19720,43.61
86574,540,19836,43.61
86634,530,19951,43.61
86694,530,20064,43.61
86754,520,20176,43.61
86814,520,20287,43.61
86874,510,20396,43.61
86934,500,20504,41.32
86995,500,20610,41.32
87055,490,20715,41.32
87115,490,20818,39.02
87175,480,20920,39.02
87235,480,21021,39.02
87295,470,21120,36.73
87355,470,21219,36.73
87415,460,21315,36.73
87475,450,21411,36.73
87536,450,21504,36.73
87596,440,21596,34.43
87656,440,21688,36.73
87716,430,21777,34.43
87776,430,21864,32.14
87836,420,21951,34.43
87896,420,22035,32.14
87956,410,22119,32.14
88016,400,22201,32.14
88077,400,22282,32.14
88137,390,22361,29.84
88197,390,22439,29.84
88257,380,22516,29.84
88317,380,22591,29.84
88377,370,22664,27.55
88437,370,22737,27.55
88497,360,22807,25.25
88557,350,22877,27.55
88618,350,22945,25.25
88678,340,23012,25.25
88738,340,23077,25.25
88798,330,23142,25.25
88858,330,23205,22.95
88918,320,23266,22.95
88978,320,23327,22.95
89038,310,23385,22.95
89098,300,23443,22.95
89159,300,23498,20.66
89219,290,23552,18.36
89279,290,23605,20.66
89339,280,23656,18.36
89399,280,23707,20.66
89459,270,23755,18.36
89519,270,23803,18.36
89579,260,23849,18.36
89639,250,23893,16.07
89700,250,23936,16.07
89760,240,23979,16.07
89820,240,24018,16.07
89880,230,24057,16.07
89940,230,24093,13.77
90000,220,24129,13.77
90060,220,24163,11.48
90120,210,24196,11.48
90180,200,24229,13.77
90241,200,24259,11.48
90301,190,24289,11.48
90361,190,24316,11.48
90421,180,24342,6.89
90481,180,24367,9.18
90541,170,24391,9.18
90601,170,24413,9.18
90661,160,24433,9.18
90721,150,24453,6.89
90782,150,24471,4.59
90842,140,24488,9.18
90902,140,24501,2.30
90962,130,24515,6.89
91022,130,24525,0.00
91082,120,24532,2.30
91142,120,24546,2.30
91202,110,24547,0.00
91262,100,24547,0.00
91323,100,24547,0.00
91383,90,24547,0.00
91443,90,24547,0.00
91503,80,24547,0.00
91563,80,24547,0.00
91623,70,24547,0.00
91683,70,24547,0.00
91743,60,24547,0.00
91803,50,24547,0.00
91864,50,24547,0.00
91924,40,24547,0.00
91984,40,24547,0.00
92044,30,24547,0.00
92104,30,24547,0.00
92164,20,24546,0.00
92224,20,24546,0.00
92284,10,24545,0.00
92344,0,24545,0.00
92405,0,24545,0.00
92465,-10,24545,0.00
92525,-10,24545,0.00
92585,-20,24545,0.00
92645,-20,24545,0.00
92705,-30,24545,0.00
92765,-30,24545,0.00
92825,-40,24545,0.00
92885,-50,24545,0.00
92946,-50,24545,0.00
93006,-60,24544,0.00
93066,-60,24544,0.00
93126,-70,24544,0.00
93186,-70,24544,0.00
93246,-80,24544,0.00
93306,-80,24544,0.00
93366,-90,24544,0.00
93426,-100,24544,0.00
93487,-100,24544,0.00
93547,-110,24544,0.00
93607,-110,24543,0.00
93667,-120,24542,-2.30
93727,-120,24538,0.00
93787,-130,24538,0.00
93847,-130,24538,0.00
93907,-140,24538,0.00
93967,-150,24538,0.00
94028,-150,24538,0.00
94088,-160,24538,0.00
94148,-160,24537,0.00
94208,-170,24525,-6.89
94268,-170,24504,-6.89
94328,-180,24481,-9.18
94388,-180,24458,-6.89
94448,-190,24433,-9.18
94508,-200,24407,-9.18
94569,-200,24380,-9.18
94629,-210,24351,-11.48
94689,-210,24321,-9.18
94749,-220,24289,-11.48
94809,-220,24255,-13.77
94869,-230,24220,-11.48
94929,-230,24184,-13.77
94989,-240,24145,-16.07
95049,-250,24107,-13.77
95110,-250,24065,-16.07
95170,-260,24023,-18.36
95230,-260,23979,-16.07
95290,-270,23934,-16.07
95350,-270,23887,-18.36
95410,-280,23839,-20.66
95470,-280,23791,-18.36
95530,-290,23740,-20.66
95590,-300,23689,-18.36
95651,-300,23635,-22.95
95711,-310,23581,-20.66
95771,-310,23524,-22.95
95831,-320,23467,-22.95
95891,-320,23409,-20.66
95951,-330,23349,-22.95
96011,-330,23288,-25.25
96071,-340,23226,-22.95
96131,-350,23163,-25.25
96192,-350,23099,-22.95
96252,-360,23032,-27.55
96312,-360,22965,-25.25
96372,-370,22896,-27.55
96432,-370,22827,-25.25
96492,-380,22754,-27.55
96552,-380,22680,-27.55
96612,-390,22604,-29.84
96672,-400,22528,-29.84
96733,-400,22451,-29.84
96793,-410,22372,-29.84
96853,-410,22291,-29.84
96913,-420,22209,-32.14
96973,-420,22125,-32.14
97033,-430,22040,-34.43
97093,-430,21954,-32.14
97153,-440,21866,-34.43
97213,-450,21778,-34.43
97274,-450,21688,-32.14
97334,-460,21596,-34.43
97394,-460,21502,-36.73
97454,-470,21408,-36.73
97514,-470,21313,-36.73
97574,-480,21217,-36.73
97634,-480,21120,-36.73
97694,-490,21021,-36.73
97754,-500,20920,-39.02
97815,-500,20818,-39.02
97875,-510,20714,-41.32
97935,-510,20609,-41.32
97995,-520,20503,-41.32
98055,-520,20396,-41.32
98115,-530,20287,-41.32
98175,-530,20177,-41.32
98235,-540,20065,-43.61
98295,-550,19952,-43.61
98356,-550,19837,-43.61
98416,-560,19721,-43.61
98476,-560,19603,-43.61
98536,-570,19484,-45.91
98596,-570,19364,-45.91
98656,-580,19244,-45.91
98716,-580,19122,-45.91
98776,-590,18998,-48.20
98836,-600,18873,-48.20
98897,-600,18746,-48.20
98957,-610,18617,-50.50
99017,-610,18487,-50.50
99077,-620,18357,-50.50
99137,-620,18224,-52.80
99197,-630,18090,-50.50
99257,-630,17955,-50.50
99317,-640,17817,-52.80
99377,-650,17680,-50.50
