Time,Front Wheel Input,Front Wheel Ticks,Front Wheel Speed
50300,-50,-1061,43.61
50401,-50,-790,64.27
50511,-49,-475,64.27
50621,-49,-165,64.27
50731,-48,142,64.27
50841,-48,447,61.98
50942,-47,722,59.68
51052,-47,1019,61.98
51162,-46,1310,59.68
51272,-46,1599,59.68
51382,-45,1884,59.68
51492,-45,2165,57.39
51593,-44,2419,57.39
51703,-44,2696,57.39
51813,-43,2966,55.09
51923,-42,3233,57.39
52033,-42,3495,55.09
52134,-41,3732,52.80
52244,-41,3987,52.80
52354,-40,4241,52.80
52464,-40,4491,52.80
52574,-39,4739,50.50
52675,-39,4957,50.50
52785,-38,5193,48.20
52895,-38,5427,48.20
53005,-37,5658,45.91
53115,-37,5885,48.20
53225,-36,6108,45.91
53326,-36,6309,45.91
53436,-35,6526,45.91
53546,-35,6739,43.61
53656,-34,6946,41.32
53766,-34,7149,43.61
53867,-33,7331,41.32
53977,-33,7529,39.02
54087,-32,7721,39.02
54197,-31,7912,41.32
54307,-31,8096,36.73
54408,-30,8265,39.02
54518,-30,8444,36.73
54628,-29,8621,34.43
54738,-29,8791,34.43
54848,-28,8957,34.43
54958,-28,9118,34.43
55059,-27,9263,34.43
55169,-27,9418,32.14
55279,-26,9571,32.14
55389,-26,9718,29.84
55499,-25,9862,27.55
55600,-25,9990,27.55
55710,-24,10128,27.55
55820,-24,10262,27.55
55930,-23,10393,27.55
56040,-23,10521,25.25
56141,-22,10633,27.55
56251,-22,10750,22.95
56361,-21,10861,20.66
56471,-20,10971,22.95
56581,-20,11076,22.95
56691,-19,11180,22.95
56792,-19,11269,20.66
56902,-18,11366,18.36
57012,-18,11458,18.36
57122,-17,11546,18.36
57232,-17,11629,18.36
57333,-16,11703,18.36
57443,-16,11780,16.07
57553,-15,11853,16.07
57663,-15,11924,16.07
57773,-14,11993,13.77
57884,-14,12056,13.77
57994,-13,12117,13.77
58104,-13,12174,11.48
58214,-12,12226,9.18
58324,-12,12276,9.18
58434,-11,12321,11.48
58535,-10,12360,9.18
58645,-10,12397,9.18
58755,-9,12433,6.89
58865,-9,12461,4.59
58975,-8,12487,2.30
59076,-8,12508,2.30
59186,-7,12512,0.00
59296,-7,12512,0.00
59406,-6,12512,0.00
59516,-6,12512,0.00
59617,-5,12512,0.00
59727,-5,12512,0.00
59837,-4,12512,0.00
59947,-4,12512,0.00
60057,-3,12512,0.00
60167,-3,12512,0.00
60268,-2,12512,0.00
60378,-2,12512,0.00
60488,-1,12512,0.00
60598,-1,12512,0.00
60708,0,12512,0.00
60809,1,12512,0.00
60919,1,12512,0.00
61029,2,12511,0.00
61139,2,12511,0.00
61249,3,12510,-2.30
61360,3,12510,0.00
61470,4,12510,0.00
61580,4,12510,0.00
61690,5,12510,0.00
61800,5,12510,0.00
61910,6,12510,0.00
62011,6,12510,0.00
62121,7,12505,-4.59
62231,7,12500,0.00
62341,8,12500,0.00
62451,8,12500,0.00
62552,9,12500,0.00
62662,9,12500,0.00
62772,10,12500,0.00
62882,11,12500,0.00
62992,11,12479,-9.18
63102,12,12440,-4.59
63203,12,12396,-11.48
63313,13,12348,-11.48
63423,13,12294,-11.48
63533,14,12238,-11.48
63643,14,12177,-11.48
63744,15,12118,-16.07
63854,15,12049,-13.77
63964,16,11978,-16.07
64074,16,11902,-18.36
64184,17,11825,-16.07
64285,17,11752,-16.07
64395,18,11667,-18.36
64505,18,11580,-16.07
64615,19,11488,-18.36
64725,19,11393,-18.36
64835,20,11293,-20.66
64936,20,11200,-20.66
65046,21,11091,-22.95
65156,22,10981,-22.95
65266,22,10866,-25.25
65376,23,10749,-25.25
65477,23,10637,-25.25
65587,24,10511,-25.25
65697,24,10379,-25.25
65807,25,10245,-29.84
65917,25,10106,-29.84
66018,26,9978,-32.14
66128,26,9834,-29.84
66238,27,9688,-29.84
66348,27,9536,-32.14
66458,28,9381,-34.43
66568,28,9222,-34.43
66669,29,9074,-34.43
66779,29,8908,-34.43
66889,30,8738,-34.43
66999,30,8564,-36.73
67109,31,8385,-36.73
67210,31,8221,-36.73
67320,32,8029,-39.02
67430,33,7834,-41.32
67540,33,7636,-41.32
67650,34,7436,-43.61
67751,34,7249,-43.61
67861,35,7041,-43.61
67971,35,6826,-43.61
68081,36,6610,-45.91
68191,36,6387,-48.20
68301,37,6162,-48.20
68402,37,5954,-45.91
68512,38,5724,-48.20
68622,38,5489,-50.50
68732,39,5251,-50.50
68842,39,5009,-48.20
68943,40,4785,-52.80
69053,40,4536,-50.50
69163,41,4281,-52.80
69273,41,4024,-52.80
69383,42,3762,-55.09
69484,42,3523,-57.39
69594,43,3254,-55.09
69704,44,2982,-55.09
69814,44,2703,-57.39
69924,45,2422,-59.68
70034,45,2135,-59.68
70135,46,1875,-59.68
70245,46,1584,-59.68
70355,47,1290,-61.98
70465,47,991,-61.98
70575,48,688,-64.27
70676,48,407,-64.27
70786,49,96,-66.57
70896,49,-217,-66.57
71006,50,-534,-68.86
71116,50,-854,-66.57
71217,51,-1150,-68.86
71327,51,-1480,-68.86
