Time,Rear Wheel Input,Rear Wheel Ticks,Rear Wheel Speed
354779,-11.00,18305,9.18
354990,-10.00,18394,9.18
355210,-9.00,18470,6.89
355430,-8.00,18535,6.89
355641,-7.00,18565,0.00
355861,-6.00,18565,0.00
356072,-5.00,18565,0.00
356292,-4.00,18565,0.00
356512,-3.00,18565,0.00
356723,-2.00,18565,0.00
356943,-1.00,18565,0.00
357163,0.00,18565,0.00
357374,1.00,18564,0.00
357594,2.00,18564,0.00
357805,3.00,18563,0.00
358025,4.00,18563,0.00
358245,5.00,18563,0.00
358456,6.00,18562,0.00
358676,7.00,18553,0.00
358896,8.00,18553,0.00
359107,9.00,18553,0.00
359327,10.00,18553,0.00
359538,12.00,18491,-9.18
359758,13.00,18386,-11.48
359978,14.00,18262,-16.07
360189,15.00,18127,-16.07
360409,16.00,17967,-16.07
360629,17.00,17790,-20.66
360840,18.00,17606,-20.66
361060,19.00,17399,-22.95
361271,20.00,17188,-22.95
361491,21.00,16949,-25.25
361711,22.00,16700,-25.25
361922,23.00,16451,-27.55
362142,24.00,16173,-27.55
362362,25.00,15874,-34.43
362573,26.00,15575,-34.43
362793,27.00,15247,-36.73
363004,28.00,14918,-34.43
363224,29.00,14557,-36.73
363444,30.00,14178,-39.02
363655,31.00,13798,-41.32
363875,32.00,13387,-43.61
364095,34.00,12959,-43.61
364306,35.00,12534,-48.20
364526,36.00,12071,-50.50
364737,37.00,11610,-52.80
364957,38.00,11113,-52.80
365177,39.00,10599,-55.09
365398,40.00,10069,-57.39
365618,41.00,9522,-57.39
365838,42.00,8959,-59.68
366049,43.00,8407,-61.98
366269,44.00,7810,-64.27
366480,45.00,7227,-64.27
366700,46.00,6598,-66.57
366920,47.00,5951,-68.86
367131,48.00,5319,-68.86
367351,49.00,4640,-71.16
367571,50.00,3944,-73.45
367782,51.00,3265,-73.45
368002,50.00,2562,-73.45
368213,49.00,1904,-71.16
368433,48.00,1232,-68.86
368653,46.00,577,-66.57
368864,45.00,-36,-66.57
369084,44.00,-659,-64.27
369304,43.00,-1266,-61.98
369515,42.00,-1831,-59.68
369625,42.00,-2122,-61.98
369735,41.00,-2408,-59.68
369845,41.00,-2689,-59.68
370487,38.00,-4246,-52.80
370597,37.00,-4498,-52.80
370707,37.00,-4749,-50.50
370817,36.00,-4993,-50.50
370927,35.00,-5235,-50.50
371037,35.00,-5471,-50.50
371679,32.00,-6770,-45.91
371789,31.00,-6978,-41.32
371899,31.00,-7181,-43.61
372009,30.00,-7382,-41.32
372119,30.00,-7579,-41.32
372871,26.00,-8811,-34.43
372981,26.00,-8976,-34.43
373091,25.00,-9135,-34.43
373201,25.00,-9292,-32.14
