Time,Front Wheel Input,Front Wheel Ticks,Front Wheel Speed
12369,-34.00,11899,66.57
12479,-33.00,12210,66.57
12589,-33.00,12518,66.57
12699,-32.00,12821,61.98
12809,-32.00,13121,61.98
13451,-28.00,14781,57.39
13561,-28.00,15051,57.39
13671,-27.00,15319,55.09
13781,-27.00,15582,55.09
13891,-26.00,15841,52.80
15194,-20.00,18587,43.61
15304,-19.00,18795,43.61
15414,-19.00,18996,43.61
15524,-18.00,19196,41.32
15634,-18.00,19389,39.02
16276,-15.00,20437,34.43
16386,-14.00,20604,32.14
16496,-14.00,20766,34.43
16606,-13.00,20924,32.14
16716,-13.00,21078,32.14
18019,-6.00,22568,20.66
18129,-6.00,22667,18.36
18239,-5.00,22762,18.36
18349,-5.00,22852,18.36
18459,-4.00,22940,18.36
19101,-1.00,23364,13.77
19211,-1.00,23423,11.48
19321,0.00,23409,-11.48
19431,0.00,23361,-11.48
19541,1.00,23307,-13.77
20844,7.00,22369,-22.95
20954,8.00,22263,-22.95
21064,8.00,22152,-22.95
21174,9.00,22038,-22.95
21284,9.00,21920,-25.25
21926,13.00,21154,-29.84
22036,13.00,21006,-29.84
22146,14.00,20855,-34.43
22256,14.00,20700,-32.14
22366,15.00,20543,-34.43
23669,21.00,18348,-43.61
23779,21.00,18136,-43.61
23889,22.00,17919,-43.61
23999,22.00,17702,-43.61
24109,23.00,17476,-48.20
24751,26.00,16089,-52.80
24861,27.00,15838,-52.80
24971,27.00,15581,-52.80
25081,28.00,15320,-55.09
25191,28.00,15054,-55.09
25833,31.00,13431,-61.98
25943,32.00,13136,-64.27
26053,32.00,12840,-61.98
26163,33.00,12537,-64.27
26273,33.00,12232,-64.27
26383,34.00,11922,-64.27
27025,37.00,10038,-68.86
27135,38.00,9702,-71.16
27245,38.00,9358,-73.45
27355,39.00,9012,-73.45
27465,39.00,8661,-73.45
28107,42.00,6541,-78.05
28217,43.00,6160,-80.34
28327,43.00,5779,-80.34
28437,44.00,5391,-80.34
28547,44.00,5000,-82.64
28658,45.00,4604,-84.93
28768,46.00,4206,-82.64
28878,46.00,3802,-84.93
28988,47.00,3396,-84.93
29098,47.00,2984,-84.93
29208,48.00,2570,-87.23
29850,51.00,73,-91.82
29960,51.00,-370,-94.11
30070,50.00,-810,-89.52
30180,50.00,-1246,-91.82
30290,49.00,-1678,-87.23
30932,46.00,-4112,-84.93
31042,45.00,-4518,-84.93
31152,45.00,-4917,-84.93
31262,44.00,-5314,-82.64
31372,44.00,-5706,-82.64
31483,43.00,-6094,-80.34
31593,43.00,-6477,-80.34
31703,42.00,-6857,-80.34
31813,42.00,-7230,-78.05
31923,41.00,-7602,-75.75
32033,41.00,-7967,-75.75
32675,38.00,-10015,-71.16
32785,37.00,-10353,-71.16
32895,37.00,-10688,-71.16
33005,36.00,-11015,-68.86
33115,35.00,-11344,-68.86
33757,32.00,-13156,-64.27
33867,32.00,-13453,-61.98
33977,31.00,-13746,-59.68
34087,31.00,-14035,-59.68
34197,30.00,-14321,-57.39
