Time,Front Wheel Input,Front Wheel Ticks,Front Wheel Speed
17448,-9.00,21235,22.95
17558,-9.00,21346,22.95
17668,-8.00,21450,20.66
17778,-7.00,21552,20.66
17888,-7.00,21646,18.36
18530,-4.00,22133,16.07
18640,-3.00,22203,13.77
18750,-3.00,22268,13.77
18860,-2.00,22329,11.48
18970,-2.00,22386,13.77
19081,-1.00,22438,9.18
19191,-1.00,22488,11.48
19301,0.00,22474,-9.18
19411,0.00,22434,-6.89
19521,1.00,22389,-11.48
19631,1.00,22342,-9.18
20273,5.00,21974,-16.07
20383,5.00,21896,-16.07
20493,6.00,21815,-18.36
20603,6.00,21729,-16.07
20713,7.00,21640,-18.36
21355,10.00,21044,-25.25
21465,10.00,20926,-25.25
21575,11.00,20804,-25.25
21685,11.00,20678,-27.55
21795,12.00,20548,-25.25
21906,12.00,20414,-27.55
22016,13.00,20275,-29.84
22126,14.00,20134,-29.84
22236,14.00,19986,-32.14
22346,15.00,19838,-32.14
22456,15.00,19682,-34.43
23098,18.00,18705,-36.73
23208,19.00,18522,-36.73
23318,19.00,18334,-39.02
23428,20.00,18143,-41.32
23538,20.00,17948,-41.32
24180,23.00,16732,-45.91
24290,24.00,16507,-48.20
24400,25.00,16281,-45.91
24510,25.00,16048,-48.20
24620,26.00,15814,-50.50
24731,26.00,15574,-50.50
24841,27.00,15332,-50.50
24951,27.00,15083,-50.50
25061,28.00,14830,-55.09
25171,28.00,14572,-55.09
25281,29.00,14312,-55.09
25923,32.00,12712,-61.98
26033,32.00,12423,-59.68
26143,33.00,12128,-61.98
26253,33.00,11832,-61.98
26363,34.00,11530,-64.27
27005,37.00,9689,-66.57
27115,38.00,9360,-71.16
27225,38.00,9024,-71.16
27335,39.00,8685,-71.16
27445,39.00,8341,-71.16
27556,40.00,7995,-71.16
27666,40.00,7645,-73.45
27776,41.00,7290,-75.75
27886,41.00,6930,-75.75
27996,42.00,6565,-78.05
28106,42.00,6198,-75.75
28748,46.00,3976,-82.64
28858,46.00,3581,-80.34
28968,47.00,3181,-82.64
29078,47.00,2774,-84.93
29188,48.00,2365,-84.93
29830,51.00,-92,-91.82
29940,51.00,-527,-91.82
30050,50.00,-961,-89.52
30160,50.00,-1390,-89.52
30270,49.00,-1814,-87.23
31022,45.00,-4599,-82.64
31132,45.00,-4991,-82.64
31242,44.00,-5380,-80.34
31352,44.00,-5763,-80.34
31462,43.00,-6141,-78.05
32104,40.00,-8263,-71.16
32214,40.00,-8615,-73.45
32324,39.00,-8963,-73.45
32434,39.00,-9306,-73.45
32544,38.00,-9643,-68.86
33847,32.00,-13319,-59.68
33957,31.00,-13604,-59.68
34067,31.00,-13882,-59.68
34177,30.00,-14157,-57.39
34287,30.00,-14429,-57.39
34929,27.00,-15928,-50.50
35039,26.00,-16171,-50.50
35149,26.00,-16411,-48.20
35259,25.00,-16646,-45.91
35369,25.00,-16879,-48.20
36672,18.00,-19292,-36.73
36782,18.00,-19470,-36.73
36892,17.00,-19642,-34.43
37002,17.00,-19808,-32.14
37112,16.00,-19972,-32.14
37754,13.00,-20857,-29.84
37864,12.00,-20996,-27.55
37974,12.00,-21128,-27.55
38084,11.00,-21258,-25.25
38194,11.00,-21382,-25.25
39497,5.00,-22551,-16.07
39607,4.00,-22623,-16.07
39717,3.00,-22692,-13.77
39827,3.00,-22755,-11.48
39937,2.00,-22816,-11.48
40579,-1.00,-23058,9.18
40689,-1.00,-23014,9.18
40799,-2.00,-22966,9.18
40909,-2.00,-22912,11.48
41019,-3.00,-22855,13.77
42322,-9.00,-21854,22.95
42432,-10.00,-21745,22.95
42542,-10.00,-21630,22.95
42652,-11.00,-21514,25.25
42762,-11.00,-21390,25.25
43404,-14.00,-20581,32.14
43514,-15.00,-20426,32.14
43624,-15.00,-20267,34.43
43734,-16.00,-20104,34.43
43844,-16.00,-19937,34.43
44486,-20.00,-18884,41.32
44596,-20.00,-18686,43.61
44706,-21.00,-18486,43.61
44816,-21.00,-18280,41.32
44926,-22.00,-18071,45.91
45036,-22.00,-17858,43.61
45678,-25.00,-16538,48.20
45788,-26.00,-16294,52.80
