Time,Rear Wheel Input,Rear Wheel Ticks,Rear Wheel Speed
53561,-39.00,9795,68.86
53671,-38.00,10115,66.57
53781,-38.00,10435,66.57
53891,-37.00,10750,66.57
54001,-36.00,11062,64.27
54643,-33.00,12787,59.68
54753,-33.00,13070,59.68
54863,-32.00,13350,57.39
54973,-32.00,13623,55.09
55083,-31.00,13892,55.09
55193,-31.00,14157,57.39
55835,-28.00,15622,50.50
55945,-27.00,15856,48.20
56055,-27.00,16090,50.50
56165,-26.00,16318,45.91
56275,-25.00,16546,48.20
57027,-22.00,17965,41.32
57137,-21.00,18156,39.02
57247,-21.00,18344,39.02
57357,-20.00,18528,36.73
57467,-20.00,18707,36.73
58109,-17.00,19670,34.43
58219,-16.00,19817,29.84
58329,-16.00,19963,29.84
58439,-15.00,20104,27.55
58549,-14.00,20244,27.55
58659,-14.00,20378,27.55
59301,-11.00,21078,22.95
59411,-10.00,21186,22.95
59521,-10.00,21287,22.95
59631,-9.00,21384,20.66
59741,-9.00,21475,18.36
61044,-2.00,22252,6.89
61154,-2.00,22293,9.18
61264,-1.00,22328,4.59
61374,-1.00,22359,6.89
61484,0.00,22368,-4.59
62126,3.00,22363,0.00
62236,3.00,22363,0.00
62346,4.00,22363,0.00
62456,4.00,22363,0.00
62566,5.00,22343,-9.18
62676,5.00,22294,-11.48
63318,9.00,21910,-16.07
63428,9.00,21828,-16.07
63538,10.00,21745,-18.36
63648,10.00,21657,-16.07
63758,11.00,21568,-18.36
64510,14.00,20825,-25.25
64620,15.00,20697,-29.84
64730,15.00,20567,-27.55
64840,16.00,20431,-29.84
64950,16.00,20293,-29.84
65592,20.00,19405,-34.43
65702,20.00,19237,-36.73
65812,21.00,19065,-36.73
65922,21.00,18887,-36.73
66032,22.00,18707,-39.02
66142,22.00,18522,-39.02
66784,25.00,17366,-43.61
66894,26.00,17152,-45.91
67004,26.00,16935,-43.61
67114,27.00,16712,-45.91
67224,27.00,16487,-48.20
67976,31.00,14837,-52.80
68086,32.00,14579,-52.80
68196,32.00,14315,-55.09
68306,33.00,14049,-57.39
68416,33.00,13778,-57.39
69058,36.00,12121,-61.98
69168,37.00,11822,-61.98
69278,37.00,11520,-61.98
69388,38.00,11212,-64.27
69709,39.00,10292,-66.57
69819,40.00,9967,-66.57
69929,41.00,9642,-66.57
70039,41.00,9308,-71.16
70149,42.00,8972,-71.16
70791,45.00,6933,-75.75
70901,45.00,6567,-75.75
71011,46.00,6198,-78.05
71121,46.00,5826,-78.05
71231,47.00,5451,-80.34
71342,47.00,5068,-80.34
71452,48.00,4680,-82.64
71562,48.00,4290,-82.64
71672,49.00,3896,-82.64
71782,49.00,3499,-82.64
71892,50.00,3094,-84.93
72534,49.00,724,-84.93
72644,48.00,329,-80.34
72754,48.00,-60,-80.34
72864,47.00,-446,-78.05
72974,47.00,-829,-80.34
73726,43.00,-3323,-73.45
73836,43.00,-3673,-73.45
73946,42.00,-4017,-71.16
74056,42.00,-4359,-71.16
74166,41.00,-4697,-71.16
74808,38.00,-6577,-64.27
74918,37.00,-6888,-61.98
75028,37.00,-7192,-61.98
75138,36.00,-7494,-61.98
75248,36.00,-7789,-61.98
75358,35.00,-8080,-59.68
76000,32.00,-9702,-55.09
76110,32.00,-9964,-55.09
76220,31.00,-10223,-52.80
76330,31.00,-10481,-52.80
76440,30.00,-10733,-50.50
77192,26.00,-12339,-45.91
77302,26.00,-12558,-45.91
77412,25.00,-12774,-41.32
77522,25.00,-12985,-43.61
77632,24.00,-13194,-43.61
78274,21.00,-14312,-39.02
78384,21.00,-14490,-36.73
78494,20.00,-14665,-36.73
78604,20.00,-14836,-34.43
78714,19.00,-15001,-34.43
78825,19.00,-15164,-34.43
78935,18.00,-15320,-32.14
79045,17.00,-15474,-29.84
79155,17.00,-15621,-29.84
79265,16.00,-15765,-29.84
79375,16.00,-15904,-29.84
80017,13.00,-16649,-22.95
80127,12.00,-16764,-25.25
80237,12.00,-16873,-22.95
80347,11.00,-16978,-20.66
80457,11.00,-17079,-20.66
81209,7.00,-17651,-13.77
81319,6.00,-17718,-13.77
81429,6.00,-17780,-13.77
81539,5.00,-17841,-11.48
81649,5.00,-17895,-11.48
82291,2.00,-18146,-6.89
82401,1.00,-18174,-2.30
82511,1.00,-18198,-4.59
82621,0.00,-18214,-2.30
82731,0.00,-18224,0.00
82841,-1.00,-18210,0.00
83483,-4.00,-18034,11.48
83593,-5.00,-17982,13.77
83703,-5.00,-17924,11.48
83813,-6.00,-17867,11.48
83923,-6.00,-17802,16.07
84675,-10.00,-17264,20.66
84785,-10.00,-17165,20.66
84895,-11.00,-17062,22.95
85005,-11.00,-16954,22.95
85115,-12.00,-16842,22.95
85757,-15.00,-16106,29.84
85867,-16.00,-15966,29.84
85977,-16.00,-15821,32.14
86087,-17.00,-15676,32.14
86197,-17.00,-15525,32.14
86307,-18.00,-15370,34.43
86418,-18.00,-15208,34.43
86528,-19.00,-15042,34.43
86638,-19.00,-14870,34.43
86748,-20.00,-14696,36.73
86858,-20.00,-14516,36.73
87500,-23.00,-13394,43.61
87610,-24.00,-13186,45.91
87720,-24.00,-12975,43.61
87830,-25.00,-12757,45.91
87940,-26.00,-12537,45.91
88692,-29.00,-10918,50.50
88802,-30.00,-10664,52.80
88912,-30.00,-10404,52.80
89022,-31.00,-10140,55.09
89132,-31.00,-9874,55.09
89774,-34.00,-8236,59.68
89884,-35.00,-7939,61.98
89994,-35.00,-7642,61.98
90104,-36.00,-7337,64.27
90214,-37.00,-7028,64.27
90324,-37.00,-6712,66.57
