Time,Wheel Input,Wheel Ticks,Wheel Speed
9022,460,6037,50.50
9083,470,6169,50.50
9143,470,6302,50.50
9203,480,6437,52.80
9263,480,6573,50.50
9323,490,6710,52.80
9383,490,6849,52.80
9443,500,6988,52.80
9503,500,7130,52.80
9563,510,7273,55.09
9624,520,7417,55.09
9684,520,7564,57.39
9744,530,7711,55.09
9804,530,7861,57.39
9864,540,8011,57.39
9924,540,8164,57.39
9984,550,8317,59.68
10044,550,8472,59.68
10104,560,8627,59.68
10165,570,8784,59.68
10225,570,8944,61.98
10285,580,9103,59.68
10345,580,9265,59.68
10405,590,9428,61.98
10465,590,9592,61.98
10525,600,9759,64.27
10585,600,9927,66.57
10645,610,10096,64.27
10706,620,10266,64.27
10766,620,10439,68.86
10826,630,10611,66.57
10886,630,10786,66.57
10946,640,10961,66.57
11006,640,11139,68.86
11066,650,11317,68.86
11126,650,11497,66.57
11186,660,11680,71.16
11247,670,11863,71.16
11307,670,12048,71.16
11367,680,12234,68.86
11427,680,12423,73.45
11487,690,12611,73.45
11547,690,12801,73.45
11607,700,12992,73.45
11667,700,13185,73.45
11727,710,13380,73.45
11788,720,13576,75.75
11848,720,13775,75.75
11908,730,13975,78.05
11968,730,14176,78.05
12028,740,14377,75.75
12088,740,14581,75.75
12148,750,14786,78.05
12208,750,14992,80.34
12268,760,15199,78.05
12329,770,15409,80.34
12389,770,15620,80.34
12449,780,15832,80.34
12509,780,16047,80.34
12569,790,16263,84.93
12629,790,16479,82.64
12689,800,16697,84.93
12749,800,16915,82.64
12809,810,17136,82.64
12870,800,17359,87.23
12930,800,17579,84.93
12990,790,17798,84.93
13050,790,18016,82.64
13110,780,18232,82.64
13170,780,18447,84.93
13230,770,18659,80.34
13290,770,18870,80.34
13350,760,19080,80.34
13411,750,19289,80.34
13471,750,19496,78.05
13531,740,19703,80.34
13591,740,19907,78.05
13651,730,20111,78.05
13711,730,20312,75.75
13771,720,20512,75.75
13831,720,20710,75.75
13892,710,20907,73.45
13952,700,21103,75.75
14012,700,21297,75.75
14072,690,21490,73.45
14132,690,21681,71.16
14192,680,21872,71.16
14252,680,22061,71.16
14312,670,22249,73.45
14372,670,22434,68.86
14433,660,22619,71.16
14493,650,22801,68.86
14553,650,22982,68.86
14613,640,23162,68.86
14673,640,23340,68.86
14733,630,23518,68.86
14793,630,23693,66.57
14853,620,23868,66.57
14913,620,24042,66.57
14974,610,24213,64.27
15034,600,24383,66.57
15094,600,24550,61.98
15154,590,24717,64.27
15214,590,24882,61.98
15274,580,25047,64.27
15334,580,25209,64.27
15394,570,25370,61.98
15454,570,25530,61.98
15515,560,25688,59.68
15575,550,25846,59.68
15635,550,26001,57.39
15695,540,26156,57.39
15755,540,26308,59.68
15815,530,26459,57.39
15875,530,26609,59.68
15935,520,26757,57.39
15995,520,26904,57.39
16056,510,27049,55.09
16116,500,27194,55.09
16176,500,27336,52.80
16236,490,27478,52.80
16296,490,27617,50.50
16356,480,27757,52.80
16416,480,27894,52.80
16476,470,28029,50.50
16536,470,28164,52.80
16597,460,28296,48.20
16657,450,28428,52.80
16717,450,28556,48.20
16777,440,28685,50.50
16837,440,28811,45.91
16897,430,28937,48.20
16957,430,29061,48.20
17017,420,29184,45.91
17077,420,29306,48.20
17138,410,29426,43.61
17198,400,29545,45.91
17258,400,29662,43.61
17318,390,29778,43.61
17378,390,29892,43.61
17438,380,30005,41.32
17498,380,30116,41.32
