Time,Front Wheel Input,Front Wheel Ticks,Front Wheel Speed
219829,-51.00,9171,87.23
220471,-48.00,11598,82.64
220581,-48.00,12000,84.93
220691,-47.00,12396,82.64
220801,-46.00,12792,80.34
220911,-46.00,13183,82.64
221663,-42.00,15735,73.45
221773,-42.00,16091,73.45
221883,-41.00,16446,73.45
221993,-41.00,16795,71.16
222103,-40.00,17143,71.16
222745,-37.00,19073,66.57
222855,-37.00,19392,66.57
222965,-36.00,19704,66.57
223075,-36.00,20012,64.27
223185,-35.00,20316,61.98
223295,-34.00,20619,61.98
223406,-34.00,20915,61.98
223516,-33.00,21209,59.68
223626,-33.00,21495,59.68
223736,-32.00,21778,57.39
223846,-32.00,22056,57.39
224488,-29.00,23602,52.80
224598,-28.00,23852,52.80
224708,-28.00,24099,50.50
224818,-27.00,24342,48.20
224928,-27.00,24583,50.50
225680,-23.00,26100,43.61
225790,-22.00,26308,41.32
225900,-22.00,26508,41.32
226010,-21.00,26708,41.32
226120,-21.00,26901,41.32
226762,-18.00,27939,36.73
226872,-17.00,28103,34.43
226982,-17.00,28264,34.43
227092,-16.00,28420,32.14
227202,-16.00,28572,32.14
227312,-15.00,28720,32.14
227954,-12.00,29487,22.95
228064,-11.00,29604,25.25
228174,-11.00,29714,22.95
228284,-10.00,29824,20.66
228394,-10.00,29928,20.66
229146,-6.00,30534,18.36
229256,-6.00,30606,16.07
229366,-5.00,30674,13.77
229476,-5.00,30738,13.77
229586,-4.00,30798,11.48
230228,-1.00,31066,6.89
230338,0.00,31094,0.00
230448,0.00,31094,0.00
230558,1.00,31094,0.00
230668,1.00,31094,0.00
230778,2.00,31093,-2.30
230889,2.00,31063,-6.89
230999,3.00,31028,-9.18
231109,3.00,30987,-6.89
231219,4.00,30942,-11.48
231329,4.00,30894,-11.48
231971,7.00,30529,-16.07
232081,8.00,30452,-16.07
232191,8.00,30373,-16.07
232301,9.00,30287,-18.36
232411,10.00,30201,-16.07
233163,13.00,29495,-22.95
233273,14.00,29380,-25.25
233383,14.00,29258,-25.25
233493,15.00,29132,-27.55
233603,15.00,29000,-27.55
234245,18.00,28148,-34.43
234355,19.00,27987,-34.43
234465,19.00,27825,-32.14
234575,20.00,27655,-36.73
234685,21.00,27486,-34.43
234795,21.00,27310,-36.73
235437,24.00,26200,-41.32
235547,25.00,25996,-43.61
235657,25.00,25787,-43.61
235767,26.00,25575,-45.91
235877,26.00,25360,-43.61
236629,30.00,23772,-50.50
236739,30.00,23524,-52.80
236849,31.00,23272,-52.80
236959,31.00,23016,-52.80
237069,32.00,22752,-55.09
237711,35.00,21152,-59.68
237821,36.00,20862,-59.68
237931,36.00,20566,-61.98
238041,37.00,20268,-64.27
238151,37.00,19965,-64.27
238261,38.00,19660,-64.27
238372,38.00,19350,-64.27
238482,39.00,19034,-66.57
238592,39.00,18714,-66.57
238702,40.00,18390,-66.57
238812,40.00,18062,-68.86
239454,44.00,16072,-75.75
239564,44.00,15715,-73.45
239674,45.00,15358,-73.45
239784,45.00,14990,-78.05
239894,46.00,14620,-80.34
240646,49.00,11987,-82.64
240756,50.00,11585,-84.93
240866,50.00,11178,-84.93
240976,51.00,10765,-87.23
241086,51.00,10351,-84.93
241728,47.00,8028,-82.64
241838,47.00,7648,-78.05
241948,46.00,7266,-78.05
242058,46.00,6890,-78.05
242168,45.00,6516,-75.75
242278,45.00,6150,-75.75
242920,42.00,4095,-71.16
243030,41.00,3757,-68.86
243140,41.00,3423,-71.16
243250,40.00,3091,-68.86
243360,40.00,2764,-68.86
244112,36.00,651,-59.68
244222,35.00,355,-61.98
244332,35.00,68,-59.68
244442,34.00,-216,-59.68
244552,34.00,-496,-59.68
245194,31.00,-2051,-52.80
245304,30.00,-2303,-52.80
245414,30.00,-2552,-52.80
245524,29.00,-2798,-50.50
245634,29.00,-3039,-50.50
245744,28.00,-3276,-50.50
246386,25.00,-4566,-43.61
246496,24.00,-4776,-41.32
246606,24.00,-4980,-43.61
246716,23.00,-5181,-41.32
