Time,Rear Wheel Input,Rear Wheel Ticks,Rear Wheel Speed
32935,37,-11635,-66.57
33045,36,-11950,-64.27
33155,36,-12262,-64.27
33265,35,-12570,-64.27
33375,35,-12875,-61.98
34017,31,-14558,-57.39
34127,31,-14833,-57.39
34237,30,-15105,-55.09
34347,30,-15372,-55.09
34457,29,-15635,-55.09
35209,26,-17313,-48.20
35319,25,-17542,-48.20
35429,25,-17767,-48.20
35539,24,-17988,-45.91
35649,24,-18206,-45.91
36291,20,-19391,-39.02
36401,20,-19578,-39.02
36511,19,-19763,-36.73
36621,19,-19942,-36.73
36731,18,-20120,-36.73
37483,15,-21217,-32.14
37593,14,-21359,-29.84
37703,14,-21500,-32.14
37813,13,-21634,-27.55
37923,13,-21766,-29.84
38565,9,-22446,-22.95
38675,9,-22548,-22.95
38785,8,-22648,-18.36
38895,8,-22742,-20.66
39005,7,-22833,-18.36
40308,1,-23574,-4.59
40418,0,-23612,-9.18
40528,0,-23640,-9.18
40638,-1,-23657,2.30
40748,-1,-23657,0.00
41390,-4,-23539,9.18
41500,-5,-23492,9.18
41610,-5,-23439,11.48
41720,-6,-23383,11.48
41830,-6,-23322,13.77
42582,-10,-22800,18.36
42692,-11,-22708,20.66
42802,-11,-22610,18.36
42912,-12,-22510,22.95
43022,-12,-22405,22.95
43664,-15,-21709,27.55
43774,-16,-21574,29.84
43884,-16,-21436,29.84
43994,-17,-21294,29.84
44104,-17,-21146,32.14
44856,-21,-20025,36.73
44966,-22,-19845,36.73
45076,-22,-19658,39.02
45186,-23,-19469,39.02
45296,-23,-19274,39.02
45938,-26,-18054,45.91
46048,-27,-17829,48.20
46158,-27,-17601,45.91
46268,-28,-17366,50.50
46378,-28,-17129,50.50
47130,-32,-15398,57.39
47240,-33,-15129,57.39
47350,-33,-14853,57.39
47460,-34,-14576,57.39
47570,-34,-14292,57.39
48212,-37,-12560,61.98
48322,-38,-12248,64.27
48432,-38,-11931,66.57
48542,-39,-11610,68.86
48652,-39,-11285,66.57
49955,-46,-7110,80.34
50065,-46,-6727,80.34
50175,-47,-6342,82.64
50285,-47,-5953,80.34
50395,-48,-5558,82.64
51037,-51,-3176,89.52
51147,-51,-2753,87.23
51257,-50,-2337,84.93
51367,-49,-1921,87.23
51477,-49,-1513,84.93
52229,-45,1165,78.05
52339,-45,1538,78.05
52449,-44,1910,78.05
52559,-44,2277,78.05
52669,-43,2640,75.75
53311,-40,4664,68.86
53421,-40,4999,71.16
53531,-39,5326,68.86
53641,-38,5651,66.57
53751,-38,5970,68.86
55054,-32,9423,55.09
55164,-31,9687,52.80
55274,-31,9948,55.09
55384,-30,10205,52.80
55494,-30,10458,52.80
56136,-26,11839,48.20
56246,-26,12060,45.91
56356,-25,12280,45.91
56466,-25,12493,43.61
56576,-24,12704,41.32
57328,-21,14021,39.02
57438,-20,14198,36.73
57548,-20,14371,34.43
57658,-19,14539,34.43
57768,-19,14705,34.43
58410,-15,15575,29.84
58520,-15,15708,27.55
58630,-14,15840,25.25
58740,-14,15967,27.55
58850,-13,16091,25.25
59602,-10,16819,20.66
59712,-9,16908,16.07
59822,-9,16994,18.36
59932,-8,17074,16.07
60042,-8,17151,16.07
60684,-4,17516,11.48
60794,-4,17563,9.18
60904,-3,17608,4.59
61014,-3,17647,9.18
61124,-2,17683,4.59
62427,4,17424,-11.48
62537,5,17366,-13.77
62647,5,17302,-11.48
62757,6,17234,-13.77
62867,6,17159,-16.07
63509,9,16651,-20.66
63619,10,16549,-22.95
63729,10,16441,-22.95
63839,11,16331,-22.95
63949,11,16216,-25.25
64701,15,15330,-29.84
64811,16,15183,-29.84
64921,16,15029,-29.84
65031,17,14875,-32.14
65141,17,14714,-32.14
65783,20,13695,-39.02
65893,21,13507,-41.32
66003,21,13315,-39.02
66113,22,13118,-41.32
66223,22,12916,-41.32
66975,26,11427,-48.20
67085,27,11194,-48.20
67195,27,10954,-50.50
67305,28,10712,-50.50
67415,28,10463,-52.80
68057,31,8942,-55.09
68167,32,8666,-57.39
68277,32,8384,-59.68
68387,33,8100,-59.68
68497,33,7812,-59.68
69249,37,5735,-66.57
69359,38,5416,-66.57
69469,38,5089,-68.86
69579,39,4761,-68.86
69689,39,4425,-71.16
70331,42,2404,-75.75
70441,43,2043,-75.75
70551,43,1678,-75.75
70661,44,1309,-78.05
70771,44,936,-80.34
72074,51,-3798,-87.23
72184,51,-4226,-87.23
72294,50,-4654,-87.23
72404,50,-5075,-87.23
72514,49,-5495,-87.23
73156,46,-7848,-80.34
73266,46,-8238,-80.34
73697,44,-9726,-78.05
73807,43,-10094,-75.75
73917,42,-10461,-75.75
74027,42,-10822,-75.75
74137,41,-11182,-75.75
74247,41,-11535,-73.45
74889,38,-13512,-68.86
74999,37,-13837,-66.57
75109,37,-14156,-64.27
75219,36,-14474,-64.27
75329,36,-14787,-66.57
75971,33,-16524,-61.98
76081,32,-16807,-57.39
76191,31,-17090,-59.68
76301,31,-17365,-57.39
76411,30,-17637,-55.09
76522,30,-17904,-55.09
76632,29,-18168,-55.09
76742,29,-18426,-52.80
76852,28,-18682,-50.50
76962,28,-18933,-50.50
77072,27,-19182,-50.50
77714,24,-20534,-45.91
77824,24,-20753,-43.61
77934,23,-20968,-45.91
78044,23,-21180,-43.61
78154,22,-21385,-43.61
78796,19,-22498,-39.02
78906,18,-22677,-34.43
79016,18,-22850,-36.73
79126,17,-23022,-36.73
79236,17,-23187,-34.43
79346,16,-23349,-32.14
79988,13,-24202,-29.84
80098,13,-24334,-27.55
80208,12,-24461,-27.55
80318,12,-24587,-27.55
80428,11,-24706,-22.95
81070,8,-25323,-18.36
81180,7,-25415,-18.36
81290,7,-25500,-18.36
81400,6,-25582,-13.77
81510,6,-25659,-16.07
81620,5,-25732,-11.48
82262,2,-26077,-9.18
82372,2,-26124,-6.89
82482,1,-26166,-9.18
82592,1,-26203,-6.89
82702,0,-26232,-6.89
83344,-3,-26232,0.00
83454,-4,-26231,2.30
83564,-4,-26194,9.18
83674,-5,-26149,9.18
83784,-5,-26099,9.18
83894,-6,-26046,11.48
84005,-6,-25989,11.48
84115,-7,-25926,16.07
84225,-7,-25860,11.48
84335,-8,-25787,13.77
84445,-8,-25711,16.07
85087,-12,-25184,20.66
85197,-12,-25077,25.25
85307,-13,-24969,25.25
85417,-13,-24854,25.25
85527,-14,-24737,25.25
86169,-17,-23970,32.14
