Time,Rear Wheel Input,Rear Wheel Ticks,Rear Wheel Speed
129865,-23,-24480,43.61
129975,-23,-24276,43.61
130085,-24,-24071,45.91
130195,-24,-23860,45.91
130305,-25,-23647,45.91
130416,-25,-23427,45.91
130526,-26,-23204,48.20
130636,-26,-22976,45.91
130746,-27,-22744,48.20
130856,-27,-22507,50.50
130966,-28,-22266,52.80
131608,-31,-20781,55.09
131718,-32,-20511,55.09
131828,-32,-20235,59.68
131938,-33,-19958,59.68
132048,-33,-19676,57.39
132690,-36,-17944,66.57
132800,-37,-17633,68.86
132910,-37,-17316,66.57
133020,-38,-16995,68.86
133130,-38,-16670,66.57
133240,-39,-16339,68.86
133882,-42,-14332,73.45
133992,-43,-13974,75.75
134102,-43,-13609,75.75
134212,-44,-13242,75.75
134322,-44,-12867,78.05
134964,-47,-10612,82.64
135074,-48,-10210,84.93
135184,-48,-9804,84.93
135294,-49,-9392,87.23
135404,-49,-8977,84.93
135515,-50,-8556,89.52
135625,-50,-8133,89.52
135735,-51,-7704,89.52
135845,-51,-7271,91.82
135955,-50,-6845,89.52
136065,-49,-6420,89.52
136707,-46,-4048,82.64
136817,-46,-3656,82.64
136927,-45,-3266,80.34
137037,-45,-2882,78.05
137147,-44,-2500,80.34
137789,-41,-373,73.45
137899,-41,-23,71.16
138009,-40,324,73.45
138119,-40,667,71.16
138229,-39,1004,71.16
138339,-38,1340,71.16
138981,-35,3193,64.27
139091,-35,3496,64.27
139201,-34,3795,61.98
139311,-34,4090,59.68
139421,-33,4382,59.68
140063,-30,5989,55.09
140173,-30,6252,55.09
140283,-29,6509,55.09
140393,-29,6764,55.09
140503,-28,7012,52.80
140613,-27,7258,50.50
140724,-27,7496,48.20
140834,-26,7733,48.20
140944,-26,7964,48.20
141054,-25,8193,45.91
141164,-25,8416,45.91
141806,-22,9629,39.02
141916,-21,9823,41.32
142026,-21,10013,39.02
142136,-20,10199,39.02
142246,-20,10380,39.02
142888,-16,11350,32.14
142998,-16,11500,32.14
143108,-15,11647,29.84
143218,-15,11790,29.84
143328,-14,11930,25.25
143438,-14,12065,29.84
144080,-11,12769,22.95
144190,-10,12875,20.66
144300,-10,12977,20.66
144410,-9,13074,18.36
144520,-9,13169,20.66
145162,-5,13620,16.07
145272,-5,13682,13.77
145382,-4,13744,11.48
145492,-4,13799,9.18
145602,-3,13853,9.18
145712,-3,13899,6.89
146354,0,14011,-6.89
146464,1,13976,-9.18
146574,1,13933,-9.18
146684,2,13888,-11.48
146794,2,13839,-11.48
147436,6,13467,-18.36
147546,6,13385,-18.36
147656,7,13304,-16.07
147766,7,13215,-18.36
147876,8,13125,-20.66
147986,8,13028,-20.66
148097,9,12928,-20.66
148207,9,12821,-22.95
148317,10,12712,-25.25
148427,10,12598,-22.95
148537,11,12480,-27.55
149179,14,11719,-29.84
149289,14,11575,-29.84
149399,15,11423,-29.84
149509,16,11269,-32.14
149619,16,11109,-34.43
150261,19,10097,-36.73
150371,20,9910,-41.32
150481,20,9719,-39.02
150591,21,9523,-41.32
150701,21,9321,-43.61
150811,22,9118,-43.61
151453,25,7845,-45.91
151563,25,7613,-50.50
151673,26,7376,-48.20
151783,27,7136,-48.20
151893,27,6888,-52.80
152535,30,5377,-55.09
152645,31,5104,-57.39
152755,31,4824,-57.39
152865,32,4541,-61.98
152975,32,4255,-59.68
153085,33,3964,-61.98
153727,36,2189,-64.27
153837,36,1872,-64.27
153947,37,1547,-68.86
154057,38,1221,-68.86
154167,38,888,-68.86
154809,41,-1127,-75.75
154919,42,-1488,-78.05
155029,42,-1853,-75.75
155139,43,-2220,-78.05
155249,43,-2592,-75.75
155359,44,-2969,-78.05
156001,47,-5245,-82.64
156111,47,-5651,-87.23
156221,48,-6060,-87.23
156331,49,-6472,-84.93
156441,49,-6891,-87.23
157083,50,-9386,-89.52
157193,49,-9811,-89.52
157303,49,-10231,-89.52
157413,48,-10647,-87.23
157523,48,-11060,-84.93
157634,47,-11469,-84.93
157744,47,-11873,-82.64
157854,46,-12273,-82.64
157964,46,-12670,-84.93
158074,45,-13062,-80.34
158184,45,-13451,-80.34
158826,41,-15627,-75.75
158936,41,-15985,-75.75
159046,40,-16341,-73.45
159156,40,-16692,-73.45
159266,39,-17041,-73.45
159908,36,-18979,-66.57
160018,36,-19299,-66.57
160128,35,-19612,-64.27
160238,35,-19923,-64.27
160348,34,-20229,-61.98
160458,34,-20533,-61.98
161100,30,-22210,-57.39
161210,30,-22483,-57.39
161320,29,-22755,-55.09
161430,29,-23020,-55.09
161540,28,-23283,-52.80
162182,25,-24721,-48.20
162292,25,-24955,-48.20
162402,24,-25183,-45.91
162512,24,-25409,-48.20
162622,23,-25627,-45.91
162733,23,-25844,-43.61
162843,22,-26056,-43.61
162953,21,-26265,-41.32
163063,21,-26469,-41.32
163173,20,-26671,-41.32
163384,19,-27042,-39.02
163494,19,-27229,-41.32
163604,18,-27413,-39.02
163714,18,-27591,-36.73
163824,17,-27768,-36.73
164466,14,-28709,-32.14
164576,14,-28856,-29.84
164686,13,-28999,-27.55
164796,13,-29138,-29.84
164906,12,-29272,-27.55
165658,8,-30081,-22.95
165768,8,-30182,-22.95
165878,7,-30280,-18.36
165988,7,-30374,-20.66
166098,6,-30466,-18.36
166740,3,-30904,-11.48
166850,3,-30967,-13.77
166960,2,-31024,-11.48
167070,2,-31076,-9.18
167180,1,-31123,-9.18
167932,-3,-31112,9.18
168042,-3,-31070,9.18
168152,-4,-31025,9.18
168262,-4,-30974,9.18
168372,-5,-30921,11.48
169014,-8,-30521,18.36
169124,-8,-30439,18.36
169234,-9,-30352,18.36
169344,-9,-30261,20.66
169454,-10,-30165,18.36
170757,-16,-28707,29.84
170867,-17,-28556,32.14
170977,-17,-28400,32.14
171087,-18,-28240,34.43
171197,-18,-28076,34.43
171839,-22,-27040,39.02
171949,-22,-26844,43.61
172059,-23,-26649,41.32
172169,-23,-26445,41.32
172279,-24,-26240,43.61
173031,-27,-24722,48.20
173141,-28,-24482,50.50
173251,-28,-24238,52.80
173361,-29,-23991,50.50
173471,-29,-23739,52.80
174113,-33,-22186,57.39
174223,-33,-21903,59.68
174333,-34,-21619,59.68
174443,-34,-21327,59.68
174553,-35,-21033,59.68
175305,-38,-18904,66.57
175415,-39,-18575,68.86
175525,-39,-18241,71.16
175635,-40,-17905,68.86
175745,-40,-17564,73.45
176387,-44,-15491,78.05
176497,-44,-15118,78.05
176607,-45,-14743,78.05
176717,-45,-14361,80.34
176827,-46,-13979,80.34
178130,-50,-9118,87.23
178240,-50,-8695,87.23
178350,-49,-8279,84.93
178460,-48,-7865,87.23
178570,-48,-7459,84.93
179212,-45,-5169,78.05
179322,-44,-4788,78.05
179432,-44,-4413,78.05
179542,-43,-4043,75.75
179652,-43,-3677,78.05
180404,-39,-1295,71.16
180514,-39,-962,68.86
180624,-38,-633,68.86
180734,-38,-308,68.86
180844,-37,11,68.86
181486,-34,1785,59.68
181596,-33,2076,59.68
181706,-33,2361,57.39
181816,-32,2645,59.68
181926,-32,2923,59.68
183229,-25,5880,48.20
183339,-25,6100,45.91
183449,-24,6318,43.61
183559,-24,6531,43.61
183669,-23,6741,41.32
