Time,Wheel Input,Wheel Ticks,Wheel Speed
8613,780,9439,661.22
8673,780,9657,679.59
8733,760,9872,661.22
8793,760,10085,642.86
8853,740,10292,642.86
8913,720,10496,624.49
8974,720,10699,624.49
9034,700,10900,606.12
9094,700,11097,587.76
9154,680,11290,569.39
9214,680,11480,587.76
9274,660,11667,569.39
9334,660,11852,569.39
9394,640,12034,551.02
9455,620,12211,532.65
9515,620,12384,532.65
9575,600,12556,514.29
9635,600,12727,532.65
9695,580,12895,514.29
9755,580,13060,495.92
9815,560,13222,477.55
9875,560,13381,477.55
9935,540,13538,477.55
9996,520,13693,477.55
10056,520,13844,459.18
10116,500,13992,440.82
10176,500,14135,440.82
10236,480,14275,422.45
10296,480,14412,422.45
10356,460,14548,422.45
10416,460,14681,404.08
10476,440,14812,385.71
10537,420,14940,385.71
10597,420,15064,385.71
10657,400,15185,348.98
10717,400,15303,367.35
10777,380,15419,348.98
10837,380,15532,348.98
10897,360,15643,330.61
10957,360,15752,348.98
11017,340,15857,312.24
11078,320,15960,312.24
11138,320,16056,293.88
11198,300,16149,275.51
11258,300,16239,275.51
11318,280,16328,275.51
11378,280,16415,275.51
11438,260,16499,257.14
11498,260,16581,238.78
11559,240,16659,220.41
11619,220,16735,220.41
11679,220,16807,202.04
11739,200,16879,220.41
11799,200,16944,202.04
11859,180,17008,183.67
11919,180,17068,165.31
11979,160,17125,165.31
12039,160,17179,165.31
12100,140,17230,146.94
12160,120,17279,146.94
12220,120,17325,146.94
12280,100,17370,128.57
12340,100,17411,128.57
12400,80,17451,128.57
12460,80,17486,110.20
12520,60,17518,91.84
12580,60,17548,91.84
12641,40,17575,91.84
12701,20,17599,91.84
12761,20,17617,36.73
12821,0,17634,0.00
12881,0,17634,0.00
12941,-20,17628,-73.47
13001,-20,17615,-36.73
13061,-40,17596,-73.47
13121,-40,17575,-91.84
13182,-60,17553,-91.84
13242,-80,17528,-91.84
13302,-80,17499,-91.84
13362,-100,17467,-110.20
13422,-100,17433,-110.20
13482,-120,17397,-110.20
13542,-120,17356,-128.57
13602,-140,17314,-128.57
13662,-140,17269,-146.94
13723,-160,17221,-128.57
13783,-160,17170,-165.31
13843,-180,17115,-183.67
13903,-200,17057,-183.67
13963,-200,16995,-202.04
14023,-220,16932,-202.04
14083,-220,16863,-220.41
14143,-240,16794,-220.41
14204,-240,16720,-238.78
14264,-260,16645,-238.78
14324,-260,16569,-238.78
14384,-280,16489,-238.78
14444,-300,16407,-238.78
14504,-300,16322,-257.14
14564,-320,16237,-275.51
14624,-320,16148,-293.88
14684,-340,16059,-275.51
14745,-340,15965,-293.88
14805,-360,15864,-330.61
14865,-360,15759,-330.61
