Time,Wheel Input,Wheel Ticks,Wheel Speed
112663,780,5653,0.00
112723,780,5653,0.00
112783,750,5653,0.00
112843,720,5653,0.00
112903,720,5653,0.00
112964,690,5653,0.00
113024,690,5653,0.00
113084,660,5653,0.00
113144,660,5653,0.00
113204,630,5653,0.00
113264,630,5653,0.00
113324,600,5653,0.00
113384,570,5653,0.00
113444,570,5653,0.00
113505,540,5653,0.00
113565,540,5653,0.00
113625,510,5653,0.00
113685,510,5653,0.00
113745,480,5653,0.00
113805,480,5653,0.00
113865,450,5653,0.00
113925,420,5653,0.00
113985,420,5653,0.00
114046,390,5653,0.00
114106,390,5653,0.00
114166,360,5653,0.00
114226,360,5653,0.00
114286,330,5653,0.00
114346,330,5653,0.00
114406,300,5653,0.00
114466,270,5653,0.00
114526,270,5653,0.00
114587,240,5653,0.00
114647,240,5653,0.00
114707,210,5653,0.00
114767,210,5653,0.00
114827,180,5653,0.00
114887,180,5653,0.00
114947,150,5653,0.00
115007,150,5653,0.00
115067,120,5653,0.00
115128,90,5653,0.00
115188,90,5653,0.00
115248,60,5653,0.00
115308,60,5653,0.00
115368,30,5653,0.00
115428,30,5653,0.00
115488,0,5653,0.00
115548,0,5653,0.00
115608,-30,5653,0.00
115669,-60,5653,0.00
115729,-60,5653,0.00
115789,-90,5653,0.00
115849,-90,5653,0.00
115909,-120,5653,0.00
115969,-120,5653,0.00
116029,-150,5653,0.00
116089,-150,5653,0.00
116149,-180,5653,0.00
116210,-210,5653,0.00
116270,-210,5653,0.00
116330,-240,5653,0.00
116390,-240,5653,0.00
116450,-270,5653,0.00
116510,-270,5653,0.00
116570,-300,5653,0.00
116630,-300,5653,0.00
116690,-330,5653,0.00
116751,-360,5653,0.00
116811,-360,5653,0.00
116871,-390,5653,0.00
116931,-390,5653,0.00
116991,-420,5653,0.00
117051,-420,5653,0.00
117111,-450,5653,0.00
117171,-450,5653,0.00
117231,-480,5653,0.00
117292,-510,5653,0.00
117352,-510,5653,0.00
117412,-540,5653,0.00
117472,-540,5653,0.00
117532,-570,5653,0.00
117592,-570,5653,0.00
117652,-600,5653,0.00
117712,-600,5653,0.00
117772,-630,5653,0.00
117833,-660,5653,0.00
117893,-660,5653,0.00
117953,-690,5653,0.00
118013,-690,5653,0.00
118073,-720,5653,0.00
118133,-720,5653,0.00
118193,-750,5653,0.00
118253,-750,5653,0.00
118313,-780,5653,0.00
118374,-810,5653,0.00
118434,-810,5653,0.00
118494,-780,5653,0.00
118554,-780,5653,0.00
118614,-750,5653,0.00
118674,-750,5653,0.00
118734,-720,5653,0.00
118794,-720,5653,0.00
118854,-690,5653,0.00
118915,-660,5653,0.00
118975,-660,5653,0.00
119035,-630,5653,0.00
119095,-630,5653,0.00
119155,-600,5653,0.00
119215,-600,5653,0.00
119275,-570,5653,0.00
119335,-570,5653,0.00
119395,-540,5653,0.00
119456,-510,5653,0.00
119516,-510,5653,0.00
119576,-480,5653,0.00
119636,-480,5653,0.00
119696,-450,5653,0.00
119756,-450,5653,0.00
119816,-420,5653,0.00
119876,-420,5653,0.00
119936,-390,5653,0.00
119997,-360,5653,0.00
120057,-360,5653,0.00
120117,-330,5653,0.00
120177,-330,5653,0.00
120237,-300,5653,0.00
120297,-300,5653,0.00
120357,-270,5653,0.00
120417,-270,5653,0.00
120477,-240,5653,0.00
120538,-210,5653,0.00
120598,-210,5653,0.00
120658,-180,5653,0.00
120718,-180,5653,0.00
120778,-150,5653,0.00
120838,-150,5653,0.00
120898,-120,5653,0.00
120958,-120,5653,0.00
121018,-90,5653,0.00
121079,-60,5653,0.00
121139,-60,5653,0.00
121199,-30,5653,0.00
121259,-30,5653,0.00
121319,0,5653,0.00
121379,0,5653,0.00
121439,30,5653,0.00
121499,30,5653,0.00
121559,60,5653,0.00
121620,90,5653,0.00
121680,90,5653,0.00
121740,120,5653,0.00
121800,120,5653,0.00
121860,150,5653,0.00
121920,150,5653,0.00
121980,180,5653,0.00
122040,180,5653,0.00
122100,210,5653,0.00
122161,240,5653,0.00
122221,240,5653,0.00
122281,270,5653,0.00
122341,270,5653,0.00
122401,300,5653,0.00
122461,300,5653,0.00
122521,330,5653,0.00
122581,330,5653,0.00
122641,360,5653,0.00
122702,390,5653,0.00
122762,390,5653,0.00
122822,420,5653,0.00
122882,420,5653,0.00
122942,450,5653,0.00
123002,450,5653,0.00
123062,480,5653,0.00
123122,480,5653,0.00
123182,510,5653,0.00
123243,540,5653,0.00
123303,540,5653,0.00
123363,570,5653,0.00
123423,570,5653,0.00
123483,600,5653,0.00
123543,600,5653,0.00
123603,630,5653,0.00
123663,630,5653,0.00
123723,660,5653,0.00
123784,690,5653,0.00
123844,690,5653,0.00
123904,720,5653,0.00
123964,720,5653,0.00
124024,750,5653,0.00
124084,750,5653,0.00
124144,780,5653,0.00
124204,780,5653,0.00
124264,810,5653,0.00
124325,810,5653,0.00
124385,780,5653,0.00
124445,750,5653,0.00
124505,750,5653,0.00
124565,720,5653,0.00
124625,720,5653,0.00
124685,690,5653,0.00
124745,690,5653,0.00
124805,660,5653,0.00
124866,660,5653,0.00
124926,630,5653,0.00
124986,600,5653,0.00
125046,600,5653,0.00
125106,570,5653,0.00
125166,570,5653,0.00
125226,540,5653,0.00
125286,540,5653,0.00
125346,510,5653,0.00
125407,510,5653,0.00
125467,480,5653,0.00
125527,450,5653,0.00
125587,450,5653,0.00
125647,420,5653,0.00
125707,420,5653,0.00
125767,390,5668,128.57
125827,390,5733,220.41
125887,360,5801,202.04
125948,360,5865,202.04
126008,330,5923,165.31
126068,300,5979,165.31
126128,300,6030,146.94
126188,270,6078,146.94
126248,270,6121,128.57
126308,240,6160,110.20
126368,240,6194,110.20
