Time,Wheel Input,Wheel Ticks,Wheel Speed
15216,800,24781,587.76
15276,800,24967,569.39
15336,796,25152,569.39
15396,796,25337,551.02
15456,792,25523,569.39
15516,792,25708,587.76
15576,788,25891,551.02
15637,784,26075,569.39
15697,784,26257,551.02
15757,780,26440,569.39
15817,780,26620,551.02
15877,776,26801,569.39
15937,776,26981,551.02
15997,772,27161,551.02
16057,772,27340,569.39
16118,768,27518,551.02
16178,764,27696,532.65
16238,764,27873,532.65
16298,760,28051,551.02
16358,760,28227,551.02
16418,756,28403,551.02
16478,756,28577,532.65
16538,752,28751,514.29
16598,752,28926,532.65
16659,748,29100,532.65
16719,744,29272,514.29
16779,744,29445,532.65
16839,740,29617,532.65
16899,740,29788,532.65
16959,736,29958,514.29
17019,736,30128,532.65
17079,732,30297,514.29
17139,732,30465,514.29
17200,728,30633,514.29
17260,724,30800,514.29
17320,724,30967,514.29
17380,720,31133,514.29
17440,720,31298,495.92
17500,716,31463,495.92
17560,716,31628,495.92
17620,712,31793,514.29
17680,712,31957,514.29
17741,708,32119,495.92
17801,704,32281,495.92
17861,704,32441,477.55
17921,700,32602,477.55
17981,700,32763,495.92
18041,696,32923,495.92
18101,696,33081,477.55
18161,692,33240,495.92
18221,692,33398,477.55
18282,688,33556,495.92
18342,684,33713,477.55
18402,684,33869,477.55
18462,680,34026,477.55
18522,680,34181,477.55
18582,676,34336,495.92
18642,676,34489,477.55
18702,672,34643,477.55
18762,672,34795,459.18
18823,668,34947,459.18
18883,664,35099,459.18
18943,664,35250,459.18
19003,660,35400,459.18
19063,660,35550,459.18
19123,656,35700,459.18
19183,656,35848,459.18
19243,652,35996,459.18
19303,652,36143,440.82
19364,648,36290,440.82
19424,644,36436,440.82
19484,644,36581,440.82
19544,640,36727,440.82
19604,640,36871,440.82
19664,636,37015,422.45
19724,636,37159,440.82
19784,632,37301,440.82
19845,632,37444,440.82
19905,628,37586,422.45
19965,624,37727,440.82
20025,624,37868,440.82
20085,620,38007,422.45
20145,620,38147,440.82
20205,616,38285,422.45
20265,616,38423,422.45
20325,612,38561,422.45
20386,612,38698,422.45
20446,608,38834,404.08
20506,604,38971,440.82
20566,604,39105,404.08
20626,600,39240,422.45
20686,600,39375,422.45
20746,596,39508,404.08
20806,596,39641,404.08
20866,592,39774,404.08
20927,592,39907,422.45
20987,588,40037,385.71
21047,584,40168,404.08
21107,584,40297,385.71
21167,580,40427,404.08
21227,580,40556,385.71
21287,576,40685,404.08
21347,576,40813,385.71
21407,572,40940,385.71
21468,572,41066,385.71
21528,568,41192,385.71
21588,564,41318,385.71
21648,564,41443,385.71
21708,560,41568,385.71
21768,560,41692,385.71
21828,556,41815,367.35
21888,556,41938,385.71
21948,552,42059,348.98
22009,552,42180,367.35
22069,548,42301,385.71
22129,544,42421,367.35
22189,544,42540,367.35
22249,540,42660,367.35
22309,540,42779,367.35
22369,536,42897,367.35
22429,536,43014,367.35
22489,532,43131,367.35
22550,532,43248,367.35
22610,528,43363,348.98
22670,524,43479,367.35
22730,524,43593,348.98
22790,520,43708,367.35
22850,520,43821,330.61
22910,516,43934,348.98
22970,516,44046,348.98
23030,512,44157,330.61
23091,512,44268,330.61
23151,508,44379,348.98
23211,504,44489,330.61
23271,504,44599,348.98
23331,500,44707,330.61
23391,500,44815,330.61
23451,496,44922,312.24
23511,496,45029,312.24
23571,492,45136,312.24
23632,492,45243,330.61
23692,488,45348,312.24
23752,484,45453,330.61
23812,484,45557,312.24
23872,480,45661,312.24
23932,480,45764,312.24
23992,476,45866,312.24
24052,476,45967,293.88
24113,472,46068,312.24
24173,472,46168,312.24
24233,468,46267,293.88
24293,464,46367,312.24
24353,464,46465,293.88
24413,460,46564,312.24
24473,460,46661,293.88
24533,456,46759,312.24
24593,456,46855,293.88
24654,452,46951,275.51
24714,452,47047,293.88
24774,448,47141,293.88
24834,444,47236,293.88
24894,444,47329,275.51
24954,440,47423,275.51
25014,440,47516,293.88
25074,436,47608,293.88
25134,436,47699,293.88
25195,432,47789,275.51
25255,432,47879,275.51
25315,428,47968,275.51
25375,424,48057,275.51
25435,424,48145,275.51
25495,420,48233,275.51
25555,420,48320,275.51
25615,416,48407,257.14
25675,416,48493,257.14
25736,412,48579,275.51
25796,412,48663,257.14
25856,408,48748,275.51
25916,404,48831,257.14
25976,404,48915,257.14
26036,400,48997,257.14
26096,400,49079,257.14
26156,396,49160,238.78
26216,396,49241,238.78
26277,392,49323,257.14
26337,392,49403,257.14
26397,388,49483,257.14
26457,388,49561,238.78
26517,384,49639,220.41
26577,380,49717,238.78
26637,380,49794,238.78
26697,376,49870,238.78
26757,376,49945,238.78
26818,372,50020,220.41
26878,372,50095,238.78
26938,368,50168,220.41
26998,368,50241,220.41
27058,364,50315,220.41
27118,360,50387,220.41
27178,360,50459,220.41
27238,356,50530,202.04
27298,356,50600,202.04
27359,352,50671,220.41
27419,352,50740,220.41
27479,348,50808,202.04
27539,348,50877,220.41
27599,344,50944,202.04
27659,340,51012,202.04
27719,340,51079,202.04
27779,336,51145,202.04
27840,336,51210,183.67
27900,332,51275,202.04
27960,332,51340,202.04
28020,328,51404,202.04
28080,328,51466,183.67
28140,324,51529,183.67
28200,320,51592,202.04
28260,320,51653,183.67
28320,316,51714,183.67
28381,316,51774,183.67
28441,312,51833,183.67
28501,312,51891,183.67
28561,308,51949,183.67
28621,308,52006,165.31
28681,304,52063,183.67
28741,300,52120,183.67
28801,300,52176,165.31
28861,296,52232,165.31
28922,296,52287,165.31
28982,292,52342,165.31
29042,292,52395,146.94
29102,288,52448,146.94
29162,288,52501,165.31
29222,284,52553,165.31
29282,280,52604,146.94
29342,280,52655,146.94
29402,276,52705,165.31
29463,276,52755,165.31
29523,272,52804,146.94
29583,272,52852,146.94
29643,268,52900,146.94
29703,268,52947,146.94
29763,264,52994,146.94
29823,260,53041,146.94
29883,260,53086,146.94
29943,256,53131,128.57
30004,256,53176,128.57
30064,252,53221,146.94
30124,252,53265,146.94
30184,248,53308,128.57
30244,248,53350,128.57
30304,244,53392,128.57
30364,240,53434,128.57
30424,240,53475,128.57
30484,236,53515,128.57
30545,236,53554,128.57
30605,232,53592,91.84
30665,232,53631,128.57
30725,228,53667,110.20
30785,228,53704,128.57
30845,224,53740,110.20
30905,220,53775,110.20
30965,220,53809,91.84
31025,216,53844,91.84
31086,216,53877,110.20
31146,212,53909,91.84
31206,212,53942,110.20
31266,208,53974,110.20
31326,208,54005,73.47
31386,204,54036,91.84
31446,200,54066,91.84
31506,200,54097,110.20
31567,196,54126,91.84
31627,196,54156,91.84
31687,192,54184,91.84
31747,192,54212,73.47
31807,188,54239,73.47
31867,188,54267,73.47
31927,184,54293,73.47
31987,180,54319,73.47
32047,180,54343,55.10
32108,176,54368,55.10
32168,176,54392,73.47
32228,172,54416,91.84
32288,172,54437,73.47
32348,168,54459,73.47
32408,168,54479,55.10
32468,164,54500,55.10
32528,160,54521,55.10
32588,160,54539,73.47
32649,156,54556,36.73
32709,156,54576,55.10
32769,152,54594,73.47
32829,152,54608,36.73
32889,148,54627,36.73
32949,148,54641,73.47
33009,144,54655,18.37
33069,144,54672,73.47
33129,140,54682,36.73
33190,136,54697,55.10
33250,136,54706,18.37
33310,132,54717,36.73
33370,132,54731,36.73
33430,128,54731,0.00
33490,128,54731,0.00
33550,124,54731,0.00
33610,124,54731,0.00
33670,120,54731,0.00
33731,116,54731,0.00
33791,116,54731,0.00
33851,112,54731,0.00
33911,112,54731,0.00
33971,108,54731,0.00
34031,108,54731,0.00
34091,104,54731,0.00
34151,104,54731,0.00
34211,100,54731,0.00
34272,96,54731,0.00
34332,96,54731,0.00
34392,92,54731,0.00
34452,92,54731,0.00
34512,88,54731,0.00
34572,88,54731,0.00
34632,84,54731,0.00
34692,84,54731,0.00
34752,80,54731,0.00
34813,76,54731,0.00
34873,76,54731,0.00
34933,72,54731,0.00
34993,72,54731,0.00
35053,68,54731,0.00
35113,68,54731,0.00
35173,64,54731,0.00
35233,64,54731,0.00
35293,60,54731,0.00
35354,56,54731,0.00
35414,56,54731,0.00
35474,52,54731,0.00
35534,52,54731,0.00
35594,48,54731,0.00
35654,48,54731,0.00
35714,44,54731,0.00
35774,44,54731,0.00
35834,40,54731,0.00
35895,36,54731,0.00
35955,36,54731,0.00
36015,32,54731,0.00
36075,32,54731,0.00
36135,28,54731,0.00
36195,28,54731,0.00
36255,24,54731,0.00
36315,24,54731,0.00
36376,20,54731,0.00
36436,16,54731,0.00
36496,16,54731,0.00
36556,12,54731,0.00
36616,12,54731,0.00
36676,8,54731,0.00
36736,8,54731,0.00
36796,4,54731,0.00
36856,4,54731,0.00
36917,0,54731,0.00
36977,-4,54731,0.00
37037,-4,54731,0.00
37097,-8,54731,0.00
37157,-8,54731,0.00
37217,-12,54731,0.00
37277,-12,54731,0.00
37337,-16,54731,0.00
37397,-16,54731,0.00
37458,-20,54731,0.00
37518,-24,54731,0.00
37578,-24,54731,0.00
37638,-28,54731,0.00
37698,-28,54731,0.00
37758,-32,54730,0.00
37818,-32,54730,0.00
37878,-36,54730,0.00
37938,-36,54730,0.00
37999,-40,54730,0.00
38059,-44,54730,0.00
38119,-44,54730,0.00
38179,-48,54730,0.00
38239,-48,54730,0.00
38299,-52,54730,0.00
38359,-52,54730,0.00
38419,-56,54730,0.00
38479,-56,54730,0.00
38540,-60,54729,0.00
38600,-64,54729,0.00
38660,-64,54729,0.00
38720,-68,54729,0.00
38780,-68,54729,0.00
38840,-72,54729,0.00
38900,-72,54729,0.00
38960,-76,54729,0.00
39020,-76,54729,0.00
39081,-80,54729,0.00
39141,-84,54729,0.00
39201,-84,54729,0.00
39261,-88,54729,0.00
39321,-88,54729,0.00
39381,-92,54729,0.00
39441,-92,54729,0.00
39501,-96,54729,0.00
39561,-96,54729,0.00
39622,-100,54729,0.00
39682,-104,54729,0.00
39742,-104,54729,0.00
39802,-108,54729,0.00
39862,-108,54729,0.00
39922,-112,54729,0.00
39982,-112,54729,0.00
40042,-116,54728,0.00
40102,-116,54728,0.00
40163,-120,54728,0.00
40223,-124,54719,-18.37
40283,-124,54718,0.00
40343,-128,54718,0.00
40403,-128,54718,0.00
40463,-132,54718,0.00
40523,-132,54718,0.00
40583,-136,54718,0.00
40643,-136,54718,0.00
40704,-140,54718,0.00
40764,-144,54718,0.00
40824,-144,54718,0.00
40884,-148,54718,0.00
40944,-148,54718,0.00
41004,-152,54718,0.00
41064,-152,54718,0.00
41124,-156,54718,0.00
41185,-156,54718,0.00
41245,-160,54718,0.00
41305,-164,54718,0.00
41365,-164,54718,0.00
41425,-168,54718,0.00
41485,-168,54718,0.00
41545,-172,54718,0.00
41605,-172,54718,0.00
41665,-176,54718,0.00
41726,-176,54718,0.00
41786,-180,54718,0.00
41846,-184,54718,0.00
41906,-184,54717,0.00
41966,-188,54700,-73.47
42026,-188,54677,-73.47
42086,-192,54652,-73.47
42146,-192,54627,-73.47
42206,-196,54600,-73.47
42267,-196,54573,-91.84
42327,-200,54546,-73.47
42387,-204,54518,-91.84
42447,-204,54489,-91.84
42507,-208,54460,-91.84
42567,-208,54429,-91.84
42627,-212,54400,-73.47
42687,-212,54370,-91.84
42747,-216,54339,-91.84
42808,-216,54308,-91.84
42868,-220,54276,-91.84
42928,-224,54244,-91.84
42988,-224,54212,-91.84
43048,-228,54177,-110.20
43108,-228,54144,-110.20
43168,-232,54111,-91.84
43228,-232,54075,-110.20
43288,-236,54040,-128.57
43349,-236,54005,-110.20
43409,-240,53968,-110.20
43469,-244,53931,-110.20
43529,-244,53894,-110.20
43589,-248,53856,-91.84
43649,-248,53817,-110.20
43709,-252,53777,-128.57
43769,-252,53737,-128.57
43829,-256,53696,-128.57
43890,-256,53655,-128.57
43950,-260,53614,-110.20
44010,-264,53572,-128.57
44070,-264,53529,-128.57
44130,-268,53486,-128.57
44190,-268,53442,-128.57
44250,-272,53398,-146.94
44310,-272,53354,-128.57
44371,-276,53309,-128.57
44431,-276,53263,-146.94
44491,-280,53217,-146.94
44551,-284,53171,-128.57
44611,-284,53123,-146.94
