Time,Wheel Input,Wheel Ticks,Wheel Speed
6538,770,3495,551.02
6598,770,3676,551.02
6658,735,3852,514.29
6719,735,4021,514.29
6779,700,4184,477.55
6839,700,4344,495.92
6899,665,4500,477.55
6959,665,4651,477.55
7019,630,4794,422.45
7079,595,4933,404.08
7139,595,5065,385.71
7200,560,5196,385.71
7260,560,5320,385.71
7320,525,5440,367.35
7380,525,5554,348.98
7440,490,5664,330.61
7500,490,5768,312.24
7560,455,5866,293.88
7620,420,5960,293.88
7680,420,6045,257.14
7741,385,6128,238.78
7801,385,6205,238.78
7861,350,6280,220.41
7921,350,6348,202.04
7981,315,6412,183.67
8041,315,6472,183.67
8101,280,6525,146.94
8161,245,6576,165.31
8222,245,6619,128.57
8282,210,6658,110.20
8342,210,6689,91.84
8402,175,6717,73.47
8462,175,6737,36.73
8522,140,6753,73.47
8582,140,6760,0.00
8642,105,6760,0.00
8702,70,6760,0.00
8763,70,6760,0.00
8823,35,6759,-18.37
8883,35,6759,0.00
8943,0,6758,0.00
9003,0,6758,0.00
9063,-35,6757,0.00
9123,-35,6757,0.00
9183,-70,6757,0.00
9244,-105,6757,0.00
9304,-105,6756,0.00
9364,-140,6755,-18.37
9424,-140,6745,-18.37
9484,-175,6729,-91.84
9544,-175,6712,-55.10
9604,-210,6686,-91.84
9664,-210,6655,-110.20
9725,-245,6617,-110.20
9785,-280,6576,-128.57
9845,-280,6527,-146.94
9905,-315,6475,-165.31
9965,-315,6418,-183.67
10025,-350,6357,-202.04
10085,-350,6292,-202.04
10145,-385,6221,-238.78
10205,-385,6146,-238.78
10266,-420,6065,-257.14
10326,-455,5981,-257.14
10386,-455,5889,-293.88
10446,-490,5793,-293.88
10506,-490,5690,-312.24
10566,-525,5583,-330.61
10626,-525,5470,-348.98
10686,-560,5354,-367.35
10747,-595,5233,-367.35
10807,-595,5104,-404.08
10867,-630,4975,-404.08
10927,-630,4840,-422.45
10987,-665,4701,-440.82
11047,-665,4553,-459.18
11107,-700,4402,-477.55
11167,-700,4246,-477.55
11228,-735,4085,-495.92
11288,-770,3919,-514.29
11348,-770,3744,-551.02
11408,-805,3567,-551.02
11468,-805,3384,-569.39
11528,-770,3201,-551.02
11588,-770,3025,-532.65
11648,-735,2854,-514.29
11708,-735,2688,-514.29
11769,-700,2526,-477.55
11829,-700,2368,-495.92
11889,-665,2217,-459.18
11949,-630,2069,-459.18
12009,-630,1928,-440.82
12069,-595,1788,-422.45
12129,-595,1655,-385.71
12189,-560,1525,-367.35
12250,-560,1403,-367.35
12310,-525,1285,-348.98
12370,-525,1172,-348.98
12430,-490,1067,-293.88
12490,-455,964,-312.24
12550,-455,870,-275.51
12610,-420,777,-275.51
12670,-420,690,-257.14
12731,-385,605,-257.14
12791,-385,527,-238.78
12851,-350,456,-202.04
12911,-350,388,-220.41
12971,-315,327,-183.67
13031,-280,269,-165.31
13091,-280,218,-146.94
13151,-245,169,-146.94
13211,-245,128,-128.57
13272,-210,90,-110.20
13332,-210,59,-91.84
13392,-175,32,-73.47
13452,-175,8,-73.47
13512,-140,-9,-36.73
13572,-105,-15,0.00
13632,-105,-15,0.00
13692,-70,-15,0.00
13753,-70,-15,0.00
13813,-35,-15,0.00
13873,-35,-15,0.00
13933,0,-15,0.00
13993,0,-13,0.00
14053,35,-13,0.00
14113,70,-13,0.00
14173,70,-12,0.00
14234,105,-12,0.00
14294,105,-11,0.00
14354,140,-5,55.10
14414,140,-1,0.00
14474,175,-1,0.00
14534,175,-1,0.00
14594,210,10,55.10
14654,245,40,91.84
14714,245,77,128.57
14775,280,116,128.57
14835,280,164,146.94
14895,315,215,183.67
14955,315,271,165.31
15015,350,335,220.41
15075,350,401,202.04
15135,385,474,238.78
15195,420,551,238.78
15256,420,634,257.14
15316,455,721,275.51
15376,455,815,293.88
15436,490,909,293.88
15496,490,1009,312.24
15556,525,1115,348.98
15616,525,1225,348.98
15676,560,1343,367.35
15736,595,1464,367.35
15797,595,1593,404.08
15857,630,1726,422.45
15917,630,1864,422.45
15977,665,2006,440.82
16037,665,2152,440.82
16097,700,2304,477.55
16157,700,2462,477.55
16217,735,2627,514.29
16278,770,2796,532.65
16338,770,2970,532.65
16398,805,3148,569.39
16458,805,3333,569.39
16518,770,3517,551.02
16578,770,3696,532.65
16638,735,3869,514.29
16698,735,4036,514.29
16759,700,4197,477.55
16819,665,4356,477.55
16879,665,4508,459.18
16939,630,4657,440.82
16999,630,4799,422.45
17059,595,4936,404.08
17119,595,5067,404.08
17179,560,5193,385.71
17239,560,5316,385.71
17300,525,5432,348.98
17360,490,5545,330.61
17420,490,5651,312.24
17480,455,5753,293.88
17540,455,5848,293.88
17600,420,5938,257.14
17660,420,6023,257.14
17720,385,6102,238.78
17781,350,6178,238.78
17841,350,6248,220.41
17901,315,6316,202.04
17961,315,6376,183.67
18021,280,6433,165.31
18081,280,6484,146.94
18141,245,6531,128.57
18201,245,6572,128.57
18262,210,6609,91.84
18322,175,6641,91.84
18382,175,6664,55.10
18442,140,6685,36.73
18502,140,6696,55.10
18562,105,6707,0.00
18622,105,6707,0.00
18682,70,6707,0.00
18742,70,6707,0.00
18803,35,6707,0.00
18863,0,6707,0.00
18923,0,6706,0.00
18983,-35,6706,0.00
19043,-35,6705,0.00
19103,-70,6705,0.00
19163,-70,6705,0.00
19223,-105,6705,0.00
19284,-105,6705,0.00
19344,-140,6698,-18.37
19404,-175,6693,-18.37
19464,-175,6680,-73.47
19524,-210,6659,-73.47
19584,-210,6628,-91.84
19644,-245,6595,-110.20
19704,-245,6555,-110.20
19764,-280,6511,-146.94
19825,-280,6461,-165.31
19885,-315,6407,-165.31
19945,-350,6349,-183.67
20005,-350,6285,-202.04
20065,-385,6219,-220.41
20125,-385,6143,-238.78
20185,-420,6066,-257.14
20245,-420,5983,-257.14
20306,-455,5895,-293.88
20366,-455,5801,-293.88
20426,-490,5700,-312.24
20486,-525,5596,-330.61
20546,-525,5485,-348.98
20606,-560,5373,-348.98
20666,-560,5252,-385.71
20726,-595,5129,-385.71
20787,-595,5001,-385.71
20847,-630,4869,-422.45
20907,-630,4733,-422.45
20967,-665,4588,-459.18
21027,-700,4439,-459.18
21087,-700,4285,-477.55
21147,-735,4127,-495.92
21207,-735,3962,-514.29
21267,-770,3793,-551.02
21328,-770,3618,-532.65
21388,-805,3437,-569.39
21448,-805,3253,-551.02
21508,-770,3073,-551.02
21568,-735,2899,-514.29
21628,-735,2732,-495.92
21688,-700,2565,-495.92
21748,-700,2406,-495.92
21809,-665,2252,-459.18
21869,-665,2104,-440.82
21929,-630,1960,-422.45
21989,-630,1819,-440.82
22049,-595,1684,-404.08
22109,-560,1552,-385.71
22169,-560,1428,-367.35
22229,-525,1305,-367.35
22290,-525,1191,-348.98
22350,-490,1081,-330.61
22410,-490,979,-293.88
22470,-455,881,-293.88
22530,-455,787,-293.88
22590,-420,699,-257.14
22650,-385,612,-257.14
22710,-385,532,-238.78
22771,-350,457,-220.41
22831,-350,388,-220.41
22891,-315,324,-183.67
22951,-315,265,-183.67
23011,-280,211,-165.31
23071,-280,161,-146.94
23131,-245,118,-128.57
23191,-210,77,-128.57
23251,-210,45,-110.20
23312,-175,14,-73.47
23372,-175,-10,-55.10
23432,-140,-29,-73.47
23492,-140,-43,-36.73
23552,-105,-55,-55.10
23612,-105,-61,0.00
23672,-70,-61,0.00
23732,-35,-61,0.00
23793,-35,-61,0.00
23853,0,-60,0.00
23913,0,-60,0.00
23973,35,-60,0.00
24033,35,-60,0.00
24093,70,-59,0.00
24153,70,-59,0.00
24213,105,-59,0.00
24273,140,-59,0.00
24334,140,-52,18.37
24394,175,-50,36.73
24454,175,-31,73.47
24514,210,-6,91.84
24574,210,24,110.20
24634,245,59,110.20
24694,245,98,110.20
24754,280,144,146.94
24815,315,193,146.94
24875,315,251,183.67
24935,350,312,202.04
24995,350,380,220.41
25055,385,451,220.41
25115,385,527,220.41
25175,420,608,238.78
25235,420,694,257.14
25296,455,786,275.51
25356,490,881,293.88
25416,490,981,293.88
25476,525,1085,312.24
25536,525,1196,330.61
25596,560,1313,385.71
25656,560,1435,367.35
25716,595,1562,385.71
25776,595,1694,404.08
25837,630,1831,422.45
25897,665,1972,440.82
25957,665,2118,459.18
26017,700,2268,477.55
26077,700,2427,495.92
26137,735,2590,514.29
26197,735,2759,514.29
26257,770,2931,532.65
26318,805,3107,551.02
26378,805,3292,569.39
26438,770,3479,569.39
26498,770,3660,551.02
26558,735,3837,532.65
26618,735,4006,514.29
26678,700,4171,495.92
26738,700,4331,495.92
26799,665,4487,459.18
26859,630,4639,459.18
26919,630,4783,440.82
26979,595,4922,422.45
27039,595,5054,404.08
27099,560,5185,404.08
27159,560,5309,385.71
27219,525,5429,348.98
27279,525,5544,348.98
27340,490,5655,330.61
27400,455,5760,312.24
27460,455,5857,293.88
