Time,Wheel Input,Wheel Ticks,Wheel Speed
20325,302,2602,128.57
20385,304,2645,146.94
20445,304,2689,146.94
20505,306,2733,128.57
20565,306,2778,146.94
20625,308,2823,146.94
20686,308,2868,128.57
20746,310,2914,128.57
20806,312,2960,146.94
20866,312,3006,146.94
20926,314,3052,128.57
20986,314,3099,146.94
21046,316,3146,146.94
21106,316,3194,165.31
21167,318,3241,146.94
21227,318,3289,146.94
21287,320,3337,146.94
21347,322,3386,146.94
21407,322,3435,146.94
21467,324,3484,146.94
21527,324,3534,146.94
21587,326,3584,146.94
21648,326,3635,165.31
21708,328,3686,165.31
21768,328,3737,165.31
21828,330,3788,146.94
21888,332,3840,146.94
21948,332,3893,165.31
22008,334,3945,165.31
22068,334,3998,165.31
22129,336,4051,165.31
22189,336,4104,165.31
22249,338,4158,165.31
22309,338,4212,165.31
22369,340,4266,165.31
22429,342,4321,165.31
22489,342,4376,146.94
22549,344,4432,165.31
22609,344,4487,146.94
22670,346,4543,165.31
22730,346,4599,183.67
22790,348,4655,165.31
22850,348,4711,165.31
22910,350,4768,165.31
22970,352,4826,183.67
23030,352,4884,183.67
23090,354,4942,165.31
23151,354,5000,165.31
23211,356,5059,183.67
23271,356,5117,183.67
23331,358,5175,183.67
23391,358,5233,183.67
23451,360,5292,183.67
23511,362,5352,202.04
23571,362,5412,183.67
23632,364,5472,165.31
23692,364,5533,183.67
23752,366,5595,202.04
23812,366,5657,202.04
23872,368,5719,202.04
23932,368,5781,183.67
23992,370,5843,183.67
24052,372,5905,183.67
24113,372,5969,202.04
24173,374,6032,202.04
24233,374,6095,183.67
24293,376,6159,202.04
24353,376,6222,202.04
24413,378,6285,183.67
24473,378,6349,183.67
24533,380,6413,202.04
24594,382,6477,202.04
24654,382,6543,220.41
24714,384,6608,202.04
24774,384,6674,202.04
24834,386,6740,202.04
24894,386,6807,202.04
24954,388,6873,202.04
25014,388,6940,220.41
25074,390,7007,220.41
25135,392,7074,202.04
25195,392,7142,202.04
25255,394,7209,202.04
25315,394,7277,202.04
25375,396,7345,202.04
25435,396,7413,202.04
25495,398,7483,220.41
25555,398,7551,202.04
25616,400,7621,220.41
25676,402,7691,220.41
25736,402,7761,220.41
25796,404,7832,220.41
25856,404,7903,220.41
25916,406,7973,220.41
25976,406,8044,220.41
26036,408,8115,202.04
26097,410,8187,220.41
26157,410,8259,238.78
26217,412,8330,202.04
26277,412,8403,220.41
26337,414,8476,220.41
26397,414,8549,238.78
26457,416,8623,238.78
26517,416,8696,220.41
26578,418,8771,238.78
26638,420,8845,220.41
26698,420,8920,220.41
26758,422,8996,238.78
26818,422,9071,238.78
26878,424,9145,220.41
26938,424,9220,220.41
26998,426,9296,238.78
27058,426,9371,220.41
27119,428,9447,238.78
27179,428,9524,220.41
27239,430,9601,238.78
27299,432,9679,220.41
27359,432,9757,238.78
27419,434,9835,220.41
27479,434,9913,220.41
27539,436,9992,238.78
27600,436,10071,257.14
27660,438,10150,238.78
27720,438,10229,220.41
27780,440,10309,238.78
27840,442,10389,257.14
27900,442,10469,238.78
27960,444,10550,257.14
28020,444,10631,257.14
28081,446,10713,257.14
28141,446,10795,257.14
28201,448,10877,238.78
28261,448,10960,257.14
28321,450,11042,257.14
28381,452,11125,257.14
28441,452,11207,257.14
28501,454,11291,257.14
28562,454,11374,257.14
28622,456,11458,257.14
28682,456,11543,275.51
28742,458,11627,257.14
28802,458,11712,238.78
28862,460,11798,275.51
