deadband_starts_dec,kinetic_coeffs_dec,deadband_starts_inc,kinetic_coeffs_inc,deadband_ends_dec,static_coeffs_dec,deadband_ends_inc,static_coeffs_inc
1804.0,120.0,6373.0,-80.0,2465.0,-160.0,7094.0,160.0
10822.0,120.0,15451.0,-80.0,11663.0,-200.0,16052.0,120.0
20020.0,80.0,24529.0,-80.0,20681.0,-160.0,25130.0,120.0
29038.0,120.0,33607.0,-120.0,29759.0,-160.0,34388.0,200.0
38116.0,120.0,42805.0,-80.0,38657.0,-80.0,43467.0,160.0
47134.0,160.0,51883.0,-80.0,47855.0,-120.0,61623.0,160.0
56332.0,120.0,60841.0,-120.0,66192.0,-160.0,70581.0,120.0
65470.0,80.0,70039.0,-80.0,75270.0,-160.0,79839.0,200.0
74428.0,120.0,79057.0,-120.0,84228.0,-120.0,88917.0,160.0
83566.0,120.0,88196.0,-80.0,57000,-122,52540,160
