deadband_starts_dec,kinetic_coeffs_dec,deadband_starts_inc,kinetic_coeffs_inc,deadband_ends_dec,static_coeffs_dec,deadband_ends_inc,static_coeffs_inc
2405.0,120.0,8237.0,-120.0,3487.0,-180.0,20982.0,180.0
14068.0,120.0,19900.0,-120.0,38417.0,-150.0,44368.0,180.0
25791.0,90.0,31563.0,-120.0,50200.0,-180.0,56032.0,180.0
37455.0,90.0,43226.0,-120.0,61863.0,-180.0,67695.0,180.0
49178.0,90.0,54949.0,-120.0,73587.0,-210.0,79298.0,180.0
60781.0,120.0,66553.0,-120.0,85190.0,-180.0,91081.0,180.0
72504.0,90.0,78276.0,-120.0,96913.0,-180.0,102745.0,180.0
84107.0,120.0,89999.0,-120.0,108576.0,-180.0,114227.0,120.0
95771.0,120.0,101662.0,-120.0,,,,
107494.0,120.0,113326.0,-120.0,,,
