Time,Wheel Input,Wheel Ticks,Wheel Speed
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
1,1,1,10
