Time,Wheel Input,Wheel Ticks,Wheel Speed
5246,469,1998,293.88
5306,469,2099,312.24
5366,474,2200,312.24
5426,474,2301,293.88
5486,479,2404,312.24
5546,479,2508,312.24
5606,484,2612,312.24
5666,489,2718,330.61
5727,489,2824,330.61
5787,494,2928,312.24
5847,494,3030,293.88
5907,499,3133,312.24
5967,499,3236,312.24
6027,504,3341,312.24
6087,504,3448,330.61
6147,509,3557,348.98
6208,514,3666,348.98
6268,514,3777,330.61
6328,519,3890,348.98
6388,519,4003,330.61
6448,524,4117,348.98
6508,524,4232,348.98
6568,529,4347,348.98
6628,529,4463,348.98
6688,534,4581,367.35
6749,539,4699,367.35
6809,539,4818,385.71
6869,544,4934,367.35
6929,544,5048,330.61
6989,549,5164,348.98
7049,549,5282,367.35
7109,554,5401,367.35
7169,554,5522,367.35
7230,559,5645,385.71
7290,564,5769,367.35
7350,564,5894,385.71
7410,569,6020,385.71
7470,569,6146,385.71
7530,574,6273,385.71
7590,574,6401,385.71
7650,579,6530,385.71
7710,579,6660,385.71
7771,584,6790,404.08
7831,584,6917,367.35
7891,589,7044,404.08
7951,594,7171,385.71
8011,594,7301,404.08
8071,599,7433,422.45
8131,599,7566,422.45
8191,604,7700,404.08
8252,604,7836,422.45
8312,609,7973,422.45
8372,609,8110,422.45
8432,614,8248,422.45
8492,619,8387,422.45
8552,619,8527,422.45
8612,624,8668,440.82
8672,624,8808,422.45
8733,629,8945,422.45
8793,629,9083,422.45
8853,634,9223,422.45
8913,634,9366,440.82
8973,639,9511,440.82
9033,644,9656,459.18
9093,644,9802,459.18
9153,649,9949,459.18
9213,649,10096,440.82
9274,654,10245,459.18
9334,654,10394,459.18
9394,659,10545,459.18
9454,659,10695,459.18
9514,664,10845,459.18
9574,664,10991,459.18
9634,669,11139,459.18
9694,674,11290,459.18
9755,674,11443,459.18
9815,679,11597,477.55
9875,679,11752,477.55
9935,684,11908,477.55
9995,684,12065,477.55
10055,689,12223,477.55
10115,689,12382,477.55
10175,694,12542,477.55
10235,699,12701,477.55
10296,699,12858,459.18
10356,704,13014,459.18
10416,704,13173,495.92
10476,709,13333,495.92
10536,709,13496,495.92
10596,714,13660,514.29
10656,714,13824,495.92
10716,719,13990,514.29
10777,724,14156,495.92
10837,724,14324,514.29
10897,729,14492,514.29
10957,729,14661,514.29
11017,734,14826,514.29
11077,734,14991,495.92
11137,739,15159,532.65
11197,739,15329,532.65
11257,744,15499,514.29
11318,749,15672,532.65
11378,749,15845,532.65
11438,754,16019,532.65
11498,754,16195,532.65
11558,759,16371,551.02
11618,759,16548,532.65
11678,764,16723,532.65
11738,764,16897,532.65
11799,769,17073,551.02
11859,774,17251,551.02
11919,774,17431,532.65
