Time,Front Wheel Input,Front Wheel Ticks,Front Wheel Speed
15244,-100,9855,169.86
15304,-100,10297,167.57
15364,-100,10740,169.86
15424,-100,11181,167.57
15484,-100,11624,169.86
15545,-100,12067,167.57
15605,-100,12511,169.86
15665,-100,12953,167.57
15725,-100,13395,169.86
15785,-100,13838,167.57
15845,-100,14281,169.86
15905,-100,14723,167.57
15965,-100,15164,167.57
16025,-100,15606,167.57
16086,-100,16049,169.86
16146,-100,16491,167.57
16206,-100,16933,169.86
16266,-100,17375,169.86
16326,-100,17818,169.86
16386,-100,18261,169.86
16446,-100,18703,169.86
16506,-100,19144,169.86
16566,-100,19586,169.86
16627,-100,20028,167.57
16687,-100,20470,169.86
16747,-100,20911,167.57
16807,-100,21353,169.86
16867,-100,21795,169.86
16927,-100,22238,169.86
16987,-100,22679,167.57
17047,-100,23121,169.86
17108,-100,23563,169.86
17168,-100,24006,169.86
17228,-100,24447,167.57
17288,-100,24889,169.86
17348,-100,25330,169.86
17408,-100,25773,169.86
17468,-100,26215,167.57
17528,-100,26658,169.86
17588,-100,27099,169.86
17649,-100,27542,169.86
17709,-100,27984,169.86
17769,-100,28426,169.86
17829,-100,28867,169.86
17889,-100,29309,169.86
17949,-100,29751,167.57
18009,-100,30194,169.86
18069,-100,30636,167.57
18129,-100,31077,169.86
18190,-100,31520,167.57
18250,-100,31963,169.86
18310,-100,32404,167.57
18370,-100,32845,169.86
18430,-100,33287,169.86
18490,-100,33729,169.86
18550,-100,34171,167.57
18610,-100,34613,169.86
18670,-100,35054,169.86
18731,-100,35497,169.86
18791,-100,35938,167.57
18851,-100,36380,169.86
18911,-100,36820,167.57
18971,100,36672,-144.61
19031,100,36252,-165.27
19091,100,35814,-167.57
19151,100,35374,-169.86
19211,100,34935,-167.57
19272,100,34496,-167.57
19332,100,34058,-167.57
19392,100,33618,-167.57
19452,100,33178,-169.86
19512,100,32739,-167.57
19572,100,32301,-167.57
19632,100,31861,-167.57
19692,100,31421,-169.86
19753,100,30981,-169.86
19813,100,30543,-167.57
19873,100,30103,-169.86
19933,100,29664,-167.57
19993,100,29224,-167.57
20053,100,28785,-167.57
20113,100,28346,-169.86
20173,100,27907,-167.57
20233,100,27467,-169.86
20294,100,27028,-167.57
20354,100,26589,-167.57
20414,100,26150,-167.57
20474,100,25710,-167.57
20534,100,25271,-167.57
20594,100,24832,-167.57
20654,100,24393,-167.57
20714,100,23953,-167.57
20774,100,23514,-167.57
20835,100,23075,-167.57
20895,100,22636,-167.57
20955,100,22196,-169.86
21015,100,21757,-167.57
21075,100,21317,-169.86
21135,100,20879,-167.57
21195,100,20440,-167.57
21255,100,20000,-167.57
21315,100,19561,-169.86
21376,100,19122,-167.57
21436,100,18683,-167.57
21496,100,18244,-167.57
21556,100,17804,-167.57
21616,100,17365,-169.86
21676,100,16926,-167.57
21736,100,16487,-167.57
21796,100,16047,-167.57
21856,100,15608,-167.57
21917,100,15169,-167.57
21977,100,14730,-167.57
22037,100,14291,-167.57
22097,100,13851,-167.57
22157,100,13412,-167.57
22217,100,12972,-167.57
22277,100,12533,-169.86
22337,100,12094,-167.57
22397,100,11655,-167.57
22458,100,11215,-167.57
22518,100,10777,-167.57
22578,100,10337,-167.57
22638,100,9898,-167.57
22698,100,9458,-169.86
22758,100,9019,-167.57
22818,100,8580,-167.57
22878,100,8140,-167.57
22939,100,7701,-169.86
22999,100,7262,-167.57
23059,100,6823,-167.57
23119,100,6384,-167.57
23179,100,5945,-167.57
23239,100,5505,-169.86
23299,100,5067,-167.57
23359,100,4628,-167.57
23419,100,4188,-167.57
23480,100,3749,-169.86
23540,100,3310,-167.57
23600,100,2872,-167.57
23660,100,2433,-167.57
23720,100,1994,-167.57
23780,100,1555,-167.57
23840,100,1116,-167.57
23900,100,677,-169.86
23960,-100,563,105.59
24021,-100,959,165.27
24081,-100,1397,167.57
