Time,Front Wheel Input,Front Wheel Ticks,Front Wheel Speed
19913,150,42537,-250.20
19973,150,41889,-247.91
20033,150,41239,-247.91
20093,150,40589,-247.91
20153,150,39940,-247.91
20213,150,39290,-250.20
20273,150,38640,-250.20
20334,150,37991,-250.20
20394,150,37342,-247.91
20454,150,36692,-247.91
20514,150,36043,-247.91
20574,150,35393,-247.91
20634,150,34743,-250.20
20694,150,34094,-250.20
20754,150,33445,-247.91
20814,150,32795,-247.91
20875,150,32146,-247.91
20935,150,31496,-247.91
20995,150,30846,-250.20
21055,150,30197,-247.91
21115,150,29548,-247.91
21175,150,28898,-250.20
21235,150,28249,-247.91
21295,150,27599,-250.20
21355,150,26950,-247.91
21416,150,26301,-247.91
21476,150,25651,-250.20
21536,150,25003,-247.91
21596,150,24353,-247.91
21656,150,23704,-247.91
21716,150,23055,-247.91
21776,150,22406,-247.91
21836,150,21756,-250.20
21896,150,21108,-247.91
21957,150,20459,-247.91
22017,150,19809,-247.91
22077,150,19160,-247.91
22137,150,18511,-247.91
22197,150,17861,-247.91
22257,150,17212,-247.91
22317,150,16563,-247.91
22377,150,15913,-247.91
22437,150,15264,-247.91
22498,150,14616,-247.91
22558,150,13966,-247.91
22618,150,13317,-247.91
22678,150,12668,-247.91
22738,150,12019,-247.91
22798,150,11369,-250.20
22858,150,10720,-247.91
22918,150,10071,-247.91
22978,150,9421,-250.20
23039,150,8772,-247.91
23099,150,8123,-247.91
23159,150,7473,-247.91
23219,150,6824,-247.91
23279,150,6174,-247.91
23339,150,5524,-250.20
23399,150,4875,-247.91
23459,150,4225,-247.91
23520,150,3576,-247.91
23580,150,2927,-247.91
23640,150,2277,-247.91
23700,150,1628,-247.91
23760,150,979,-247.91
23820,150,329,-250.20
23880,150,-320,-250.20
23940,-150,-930,-158.39
24000,-150,-560,224.95
24061,-150,79,252.50
24121,-150,740,252.50
24181,-150,1404,254.79
24241,-150,2068,254.79
24301,-150,2732,254.79
24361,-150,3395,254.79
24421,-150,4060,254.79
24481,-150,4723,254.79
24541,-150,5385,252.50
24602,-150,6049,252.50
24662,-150,6713,252.50
24722,-150,7376,254.79
24782,-150,8039,252.50
24842,-150,8702,252.50
24902,-150,9364,252.50
24962,-150,10028,254.79
25022,-150,10690,252.50
25082,-150,11353,254.79
25143,-150,12016,252.50
25203,-150,12679,254.79
25263,-150,13341,254.79
25323,-150,14004,254.79
25383,-150,14667,254.79
25443,-150,15328,252.50
25503,-150,15991,252.50
25563,-150,16653,252.50
25623,-150,17316,254.79
25684,-150,17978,252.50
25744,-150,18641,254.79
25804,-150,19303,254.79
25864,-150,19966,252.50
25924,-150,20628,252.50
25984,-150,21290,252.50
26044,-150,21953,252.50
26104,-150,22615,252.50
26164,-150,23277,252.50
26225,-150,23940,254.79
26285,-150,24602,252.50
26345,-150,25264,252.50
26405,-150,25927,252.50
26465,-150,26589,252.50
26525,-150,27252,254.79
26585,-150,27915,254.79
26645,-150,28577,252.50
26706,-150,29240,254.79
26766,-150,29903,254.79
26826,-150,30565,254.79
26886,-150,31227,252.50
26946,-150,31891,254.79
27006,-150,32553,252.50
27066,-150,33216,254.79
27126,-150,33879,254.79
27186,-150,34541,252.50
27247,-150,35204,254.79
27307,-150,35867,252.50
27367,-150,36530,254.79
27427,-150,37193,252.50
27487,-150,37856,254.79
27547,-150,38519,254.79
27607,-150,39182,254.79
27667,-150,39845,252.50
27727,-150,40508,254.79
27788,-150,41171,254.79
27848,-150,41833,252.50
27908,-150,42495,252.50
27968,-150,43159,254.79
28028,-150,43821,252.50
28088,-150,44483,252.50
28148,-150,45147,254.79
28208,-150,45809,254.79
28268,-150,46471,254.79
28329,-150,47134,254.79
28389,-150,47796,252.50
28449,-150,48459,254.79
28509,-150,49122,254.79
28569,-150,49785,252.50
28629,-150,50447,252.50
28689,-150,51110,252.50
28749,-150,51772,252.50
28809,-150,52433,252.50
28870,-150,53097,252.50
28930,-150,53759,254.79
28990,150,53764,-183.64
29050,150,53161,-245.61
29110,150,52514,-247.91
29170,150,51863,-247.91
29230,150,51212,-247.91
29290,150,50561,-247.91
29350,150,49911,-247.91
29411,150,49259,-250.20
29471,150,48609,-247.91
29531,150,47958,-250.20
29591,150,47307,-250.20
29651,150,46657,-247.91
29711,150,46007,-247.91
29771,150,45356,-247.91
29831,150,44705,-250.20
29892,150,44055,-250.20
29952,150,43405,-247.91
30012,150,42755,-247.91
30072,150,42105,-247.91
30132,150,41454,-250.20
30192,150,40804,-247.91
30252,150,40154,-247.91
30312,150,39503,-247.91
30372,150,38853,-247.91
30433,150,38203,-247.91
30493,150,37552,-247.91
30553,150,36902,-247.91
30613,150,36252,-247.91
30673,150,35601,-247.91
30733,150,34951,-247.91
30793,150,34300,-250.20
30853,150,33650,-247.91
30913,150,32999,-250.20
30974,150,32349,-250.20
31034,150,31698,-250.20
31094,150,31048,-250.20
31154,150,30398,-247.91
31214,150,29747,-250.20
31274,150,29097,-247.91
31334,150,28447,-247.91
31394,150,27796,-250.20
31454,150,27146,-250.20
31515,150,26496,-247.91
31575,150,25845,-250.20
31635,150,25195,-250.20
31695,150,24545,-250.20
31755,150,23895,-247.91
31815,150,23245,-247.91
31875,150,22595,-247.91
31935,150,21945,-247.91
31995,150,21295,-247.91
32056,150,20645,-247.91
32116,150,19994,-247.91
32176,150,19344,-247.91
32236,150,18694,-247.91
32296,150,18044,-247.91
32356,150,17393,-250.20
32416,150,16744,-247.91
32476,150,16093,-247.91
32537,150,15443,-247.91
32597,150,14793,-247.91
32657,150,14143,-247.91
32717,150,13493,-247.91
32777,150,12843,-247.91
32837,150,12192,-250.20
32897,150,11542,-250.20
32957,150,10892,-247.91
33017,150,10241,-250.20
33078,150,9591,-250.20
33138,150,8941,-250.20
33198,150,8291,-247.91
33258,150,7641,-247.91
33318,150,6991,-247.91
33378,150,6341,-247.91
33438,150,5691,-247.91
33498,150,5041,-247.91
33558,150,4391,-247.91
33619,150,3741,-247.91
33679,150,3091,-247.91
33739,150,2440,-250.20
33799,150,1790,-247.91
33859,150,1141,-247.91
33919,150,490,-247.91
33979,-150,127,84.93
34039,-150,664,238.73
34099,-150,1316,252.50
34160,-150,1979,252.50
34220,-150,2643,252.50
34280,-150,3307,254.79
34340,-150,3972,254.79
34400,-150,4636,254.79
34460,-150,5300,254.79
34520,-150,5964,254.79
34580,-150,6627,252.50
34640,-150,7291,254.79
34701,-150,7955,254.79
34761,-150,8618,254.79
34821,-150,9281,252.50
34881,-150,9945,252.50
34941,-150,10609,254.79
35001,-150,11272,254.79
35061,-150,11936,254.79
35121,-150,12599,254.79
35181,-150,13262,252.50
35242,-150,13926,254.79
35302,-150,14589,254.79
35362,-150,15252,252.50
35422,-150,15916,254.79
35482,-150,16579,254.79
35542,-150,17242,254.79
35602,-150,17905,252.50
35662,-150,18568,252.50
35722,-150,19231,252.50
35783,-150,19895,254.79
35843,-150,20557,252.50
35903,-150,21221,254.79
35963,-150,21884,252.50
36023,-150,22547,254.79
36083,-150,23209,252.50
36143,-150,23873,252.50
36203,-150,24536,254.79
36264,-150,25198,252.50
36324,-150,25861,252.50
36384,-150,26524,252.50
36444,-150,27187,254.79
36504,-150,27850,254.79
36564,-150,28512,252.50
36624,-150,29175,254.79
36684,-150,29838,254.79
36744,-150,30501,254.79
36805,-150,31163,252.50
36865,-150,31826,252.50
36925,-150,32489,254.79
36985,-150,33151,252.50
37045,-150,33815,254.79
37105,-150,34477,252.50
37165,-150,35140,254.79
37225,-150,35802,252.50
37285,-150,36465,252.50
37346,-150,37129,254.79
37406,-150,37791,252.50
37466,-150,38453,252.50
37526,-150,39117,254.79
37586,-150,39779,254.79
37646,-150,40441,252.50
37706,-150,41104,252.50
37766,-150,41767,252.50
37826,-150,42429,252.50
37887,-150,43092,252.50
37947,-150,43754,252.50
38007,-150,44417,252.50
38067,-150,45080,254.79
38127,-150,45742,254.79
38187,-150,46404,252.50
38247,-150,47068,254.79
38307,-150,47729,252.50
38367,-150,48391,252.50
38428,-150,49054,252.50
38488,-150,49716,254.79
38548,-150,50378,252.50
