Time,Front Wheel Input,Front Wheel Ticks,Front Wheel Speed
21055,150,30197,-247.91
21115,150,29548,-247.91
21175,150,28898,-250.20
21235,150,28249,-247.91
21295,150,27599,-250.20
21355,150,26950,-247.91
21416,150,26301,-247.91
21476,150,25651,-250.20
21536,150,25003,-247.91
21596,150,24353,-247.91
21656,150,23704,-247.91
21716,150,23055,-247.91
21776,150,22406,-247.91
21836,150,21756,-250.20
21896,150,21108,-247.91
21957,150,20459,-247.91
22017,150,19809,-247.91
22077,150,19160,-247.91
22137,150,18511,-247.91
22197,150,17861,-247.91
22257,150,17212,-247.91
22317,150,16563,-247.91
22377,150,15913,-247.91
22437,150,15264,-247.91
22498,150,14616,-247.91
22558,150,13966,-247.91
22618,150,13317,-247.91
22678,150,12668,-247.91
22738,150,12019,-247.91
22798,150,11369,-250.20
22858,150,10720,-247.91
22918,150,10071,-247.91
22978,150,9421,-250.20
23039,150,8772,-247.91
23099,150,8123,-247.91
23159,150,7473,-247.91
23219,150,6824,-247.91
23279,150,6174,-247.91
23339,150,5524,-250.20
23399,150,4875,-247.91
23459,150,4225,-247.91
23520,150,3576,-247.91
23580,150,2927,-247.91
23640,150,2277,-247.91
23700,150,1628,-247.91
23760,150,979,-247.91
23820,150,329,-250.20
23880,150,-320,-250.20
23940,-150,-930,-158.39
24000,-150,-560,224.95
24061,-150,79,252.50
24121,-150,740,252.50
24181,-150,1404,254.79
24241,-150,2068,254.79
24301,-150,2732,254.79
24361,-150,3395,254.79
24421,-150,4060,254.79
24481,-150,4723,254.79
24541,-150,5385,252.50
24602,-150,6049,252.50
24662,-150,6713,252.50
24722,-150,7376,254.79
24782,-150,8039,252.50
24842,-150,8702,252.50
24902,-150,9364,252.50
24962,-150,10028,254.79
25022,-150,10690,252.50
25082,-150,11353,254.79
25143,-150,12016,252.50
25203,-150,12679,254.79
25263,-150,13341,254.79
25323,-150,14004,254.79
25383,-150,14667,254.79
25443,-150,15328,252.50
25503,-150,15991,252.50
25563,-150,16653,252.50
25623,-150,17316,254.79
25684,-150,17978,252.50
25744,-150,18641,254.79
25804,-150,19303,254.79
25864,-150,19966,252.50
25924,-150,20628,252.50
25984,-150,21290,252.50
26044,-150,21953,252.50
26104,-150,22615,252.50
26164,-150,23277,252.50
26225,-150,23940,254.79
26285,-150,24602,252.50
26345,-150,25264,252.50
26405,-150,25927,252.50
26465,-150,26589,252.50
26525,-150,27252,254.79
26585,-150,27915,254.79
26645,-150,28577,252.50
26706,-150,29240,254.79
26766,-150,29903,254.79
26826,-150,30565,254.79
26886,-150,31227,252.50
26946,-150,31891,254.79
27006,-150,32553,252.50
27066,-150,33216,254.79
27126,-150,33879,254.79
27186,-150,34541,252.50
27247,-150,35204,254.79
27307,-150,35867,252.50
27367,-150,36530,254.79
27427,-150,37193,252.50
27487,-150,37856,254.79
27547,-150,38519,254.79
27607,-150,39182,254.79
27667,-150,39845,252.50
27727,-150,40508,254.79
27788,-150,41171,254.79
27848,-150,41833,252.50
27908,-150,42495,252.50
27968,-150,43159,254.79
28028,-150,43821,252.50
28088,-150,44483,252.50
28148,-150,45147,254.79
28208,-150,45809,254.79
28268,-150,46471,254.79
28329,-150,47134,254.79
28389,-150,47796,252.50
28449,-150,48459,254.79
28509,-150,49122,254.79
28569,-150,49785,252.50
28629,-150,50447,252.50
28689,-150,51110,252.50
28749,-150,51772,252.50
28809,-150,52433,252.50
28870,-150,53097,252.50
28930,-150,53759,254.79
28990,150,53764,-183.64
29050,150,53161,-245.61
29110,150,52514,-247.91
29170,150,51863,-247.91
29230,150,51212,-247.91
29290,150,50561,-247.91
29350,150,49911,-247.91
29411,150,49259,-250.20
29471,150,48609,-247.91
29531,150,47958,-250.20
29591,150,47307,-250.20
29651,150,46657,-247.91
29711,150,46007,-247.91
29771,150,45356,-247.91
29831,150,44705,-250.20
29892,150,44055,-250.20
29952,150,43405,-247.91
30012,150,42755,-247.91
30072,150,42105,-247.91
30132,150,41454,-250.20
30192,150,40804,-247.91
30252,150,40154,-247.91
30312,150,39503,-247.91
30372,150,38853,-247.91
30433,150,38203,-247.91
30493,150,37552,-247.91
30553,150,36902,-247.91
30613,150,36252,-247.91
30673,150,35601,-247.91
30733,150,34951,-247.91
30793,150,34300,-250.20
30853,150,33650,-247.91
30913,150,32999,-250.20
30974,150,32349,-250.20
31034,150,31698,-250.20
31094,150,31048,-250.20
31154,150,30398,-247.91
31214,150,29747,-250.20
31274,150,29097,-247.91
31334,150,28447,-247.91
31394,150,27796,-250.20
31454,150,27146,-250.20
31515,150,26496,-247.91
31575,150,25845,-250.20
31635,150,25195,-250.20
31695,150,24545,-250.20
31755,150,23895,-247.91
31815,150,23245,-247.91
31875,150,22595,-247.91
31935,150,21945,-247.91
31995,150,21295,-247.91
32056,150,20645,-247.91
32116,150,19994,-247.91
32176,150,19344,-247.91
32236,150,18694,-247.91
32296,150,18044,-247.91
32356,150,17393,-250.20
32416,150,16744,-247.91
32476,150,16093,-247.91
32537,150,15443,-247.91
