Time,Rear Wheel Input,Rear Wheel Ticks,Rear Wheel Speed
109244,150,47619,-245.61
109354,150,46442,-245.61
109464,150,45263,-245.61
109574,150,44084,-245.61
109684,150,42905,-245.61
109794,150,41727,-243.32
110436,150,34867,-245.61
110546,150,33688,-245.61
110656,150,32509,-245.61
110766,150,31329,-245.61
110876,150,30150,-245.61
111628,150,22112,-245.61
111738,150,20933,-245.61
111848,150,19755,-245.61
111958,150,18576,-247.91
112068,150,17397,-245.61
112710,150,10543,-245.61
112820,150,9365,-245.61
112930,150,8187,-243.32
113040,150,7008,-245.61
113150,150,5830,-245.61
113260,150,4651,-245.61
113902,150,-2204,-247.91
114012,150,-3382,-245.61
114122,-150,-4095,153.80
114232,-150,-2960,254.79
114342,-150,-1740,254.79
115094,-150,6597,254.79
115204,-150,7820,254.79
115314,-150,9044,257.09
115424,-150,10267,257.09
115534,-150,11489,254.79
116176,-150,18606,254.79
116286,-150,19830,254.79
116396,-150,21053,257.09
116506,-150,22277,254.79
116616,-150,23501,254.79
116726,-150,24727,257.09
117368,-150,31851,254.79
117478,-150,33075,254.79
117588,-150,34299,254.79
117698,-150,35523,254.79
117808,-150,36747,254.79
118560,-150,45089,257.09
118670,-150,46312,254.79
118780,-150,47536,257.09
118890,-150,48759,254.79
119000,-150,49983,254.79
119642,150,45567,-247.91
119752,150,44386,-245.61
119862,150,43205,-245.61
119972,150,42024,-247.91
120082,150,40843,-245.61
120192,150,39661,-247.91
120834,150,32795,-247.91
120944,150,31616,-245.61
121054,150,30436,-247.91
121164,150,29256,-245.61
121274,150,28077,-247.91
122026,150,20038,-245.61
122136,150,18859,-247.91
122246,150,17681,-245.61
122356,150,16503,-245.61
122466,150,15324,-245.61
123108,150,8466,-245.61
123218,150,7287,-245.61
123328,150,6108,-245.61
123438,150,4930,-245.61
123548,150,3751,-245.61
123658,150,2573,-245.61
124300,-150,-418,254.79
124410,-150,805,254.79
124520,-150,2028,254.79
124630,-150,3252,254.79
124740,-150,4475,257.09
125492,-150,12813,252.50
125602,-150,14037,254.79
125712,-150,15261,254.79
125822,-150,16485,254.79
125932,-150,17709,254.79
126574,-150,24837,257.09
126684,-150,26063,257.09
126794,-150,27287,254.79
126904,-150,28513,254.79
127014,-150,29739,257.09
127124,-150,30965,254.79
127766,-150,38094,254.79
127876,-150,39320,257.09
127986,-150,40544,254.79
128096,-150,41769,254.79
128206,-150,42994,254.79
128958,-150,51347,257.09
129068,-150,52571,257.09
129178,150,52728,-218.07
129288,150,51571,-247.91
129398,150,50393,-247.91
130040,150,43528,-247.91
130150,150,42349,-245.61
130260,150,41168,-247.91
130370,150,39989,-247.91
130480,150,38811,-243.32
130590,150,37631,-247.91
131232,150,30772,-245.61
131342,150,29593,-245.61
131452,150,28415,-245.61
131562,150,27235,-247.91
131672,150,26057,-245.61
132424,150,18020,-245.61
132534,150,16841,-247.91
132644,150,15663,-245.61
132754,150,14484,-245.61
132864,150,13305,-245.61
133506,150,6445,-245.61
133616,150,5266,-245.61
133726,150,4087,-245.61
133836,150,2908,-245.61
133946,150,1728,-247.91
134056,150,549,-245.61
134698,-150,5848,254.79
134808,-150,7071,257.09
134918,-150,8293,254.79
135028,-150,9516,254.79
135138,-150,10740,254.79
135890,-150,19083,254.79
136000,-150,20307,254.79
136110,-150,21531,257.09
136220,-150,22755,254.79
136330,-150,23979,254.79
136972,-150,31103,254.79
137082,-150,32327,254.79
137192,-150,33552,254.79
137302,-150,34776,254.79
137412,-150,36001,257.09
137522,-150,37225,257.09
137633,-150,38450,254.79
137743,-150,39675,257.09
137853,-150,40900,254.79
137963,-150,42124,254.79
138073,-150,43349,254.79
138715,-150,50472,254.79
138825,-150,51697,257.09
138935,-150,52921,257.09
139045,-150,54145,254.79
139155,150,55076,-87.23
139907,150,47153,-247.91
140017,150,45973,-247.91
140127,150,44792,-247.91
140237,150,43611,-247.91
140347,150,42431,-247.91
140989,150,35562,-245.61
141099,150,34381,-245.61
141209,150,33200,-247.91
141319,150,32020,-247.91
141429,150,30841,-245.61
